,Source,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
8,maya,1212202001b.xlsx,left,8,0.20046053536884045,0.1997416553847097,0.9058752022037557,0.11679756141652066,0.24284193311074717,0.15686328842510208,21.0,15.427248620541514,41.875,19.31274560639017,-0.7825978702534058,0.9224043580449741,0.7949588877582192,0.31559055605078495,-1.1822414343565437,1.6079129061603392,13.537749068388484,11.612205984851256,1.1590504055327238,0.5136209946417102,0.8402715665632439,0.49629861972823236,0.9679223436997914,2.161317697969339,19.386118929039625,12.791002736966643,322.0,0.007502583506123791,0.02547558764132693,0.2786377708978328,0.3715170278637771,0.325077399380805,0.19220473325922077,0.19779982958729064,0.20081259447367875,92.28571428571428,7.000000000000001
9,maya,1212202001b.xlsx,right,8,0.19789831505606736,0.18329838044914784,0.8665910693688732,0.11159666868996909,0.14342531085780397,0.08506270416376648,20.625,15.601625373201161,46.5,20.73644135332772,-0.7241959649752621,0.7474189797554012,0.7456880043821332,0.19803719106587775,-1.8389241451443772,3.1206381605999356,11.198111184870857,4.868922781170364,1.146655321586432,0.46290659701259274,0.9567374916932319,0.5116279282790501,0.3160706215819536,2.516126538780344,21.100815689322125,13.565201970502113,322.0,0.007448940834127067,0.02434559460914491,0.2786377708978328,0.325077399380805,0.3715170278637771,0.18440571525108662,0.18499621201166702,0.1965254982676366,80.75,8.0
10,maya,1312202001a.xlsx,left,7,0.08259303494338607,0.022069620027938865,0.805709464288789,0.16205489491702438,0.1169549387365746,0.06275106360967099,27.571428571428573,12.177262183500622,55.714285714285715,12.957806986707354,-0.39354437414374094,0.15401050863638174,0.750840053484839,0.05079509915865189,-0.2633826847328085,0.25080676240129424,9.930675233033933,2.3366853514221897,0.8942322619144703,0.3046211104002085,0.5880837418386652,0.191649168070137,0.8450053878503249,1.5254560859975663,8.410300893298011,5.717641462150761,475.0,0.0046598315971268425,0.021905114066179485,0.18907563025210083,0.22058823529411764,0.25210084033613445,0.10642848871225988,0.18299186548421517,0.3813711894071914,119.0,8.0
11,maya,1312202001a.xlsx,right,7,0.04900417015388147,0.02266766151858687,0.8167229781396736,0.14569599988971282,0.11350980883724708,0.07977772398521701,30.142857142857142,14.89327109165491,57.857142857142854,11.509830167130637,-0.37893984506291334,0.1315331444555578,0.7370988103861101,0.050515307124929715,-0.14985303397570773,0.2333782163245677,9.778802608896232,2.6708055652030946,0.9058401243389171,0.36274875683671526,0.6631615414851314,0.1849510026727503,1.1303484134665598,1.8600120890917937,8.499584989792792,5.932647314370168,475.0,0.004929523399531409,0.022614295014001716,0.18907563025210083,0.22058823529411764,0.25210084033613445,0.1089114201397242,0.18742462731034212,0.39492200737135974,119.0,8.0
12,maya,1502202101a.xlsx,left,7,0.1293394636555769,0.14938318993937907,0.8144682181070325,0.10272162251832345,0.190034257089068,0.19343118889978975,27.428571428571427,15.40408109189621,61.57142857142857,12.817398889233115,-0.2981648930327382,0.11155424951391366,0.5511485847713538,0.14369254690568756,-0.4037081343805964,0.3811883994889562,8.2638272795101,4.380836870363836,1.1970213685072157,1.2534812502695243,0.5610234649239292,0.3081938795532114,1.5207766694098386,2.7025965915323544,14.714053599522488,19.729137904292724,414.0,0.0050275369764990205,0.022293635849404126,0.2891566265060241,0.21686746987951805,0.25301204819277107,0.11441410646760851,0.13801596147847725,0.38692155609377304,118.57142857142858,6.999999999999999
13,maya,1502202101a.xlsx,right,7,0.1639107556055985,0.1501864105355265,0.8734531320474238,0.17141645809259007,0.20108964483074893,0.15743508943260529,28.571428571428573,15.371587890836597,55.857142857142854,11.111984092689768,-0.37008552091834435,0.16805240123271745,0.5860595502033684,0.17207702654290277,-0.439843255812669,0.347116670100156,8.583087385253252,4.211426191721113,0.8585620436523014,0.32964946297700964,0.46130701591744866,0.1573834052749603,1.6328644852488647,2.6817169310950857,10.233287841821987,7.779311083464457,414.0,0.0049268754623154574,0.023585299640484083,0.2891566265060241,0.21686746987951805,0.25301204819277107,0.11839277103095697,0.15255975963141052,0.4048734788804854,118.57142857142858,6.999999999999999
14,maya,1502202101b.xlsx,left,7,0.11241848349582281,0.13635767080848482,0.8214674312042366,0.12573459345953916,0.1834341717189846,0.13346553650829096,25.0,9.183318209303941,54.714285714285715,12.566016150903273,-0.37262485164443276,0.18996537969173008,0.6924235065727797,0.06793543757119938,-0.3237341508011324,0.22236312873160646,11.32954170618502,2.3209773545822125,0.8766461702544329,0.14815943643145568,0.4894768778434365,0.23275062031134303,0.4708551651932154,0.9825785614295084,9.921076535799553,4.768726657860211,366.0,0.004834250157392894,0.024765699532832617,0.32697547683923706,0.2452316076294278,0.28610354223433243,0.12435991865370007,0.12776428823409508,0.41749577856474446,104.85714285714286,7.0
15,maya,1502202101b.xlsx,right,7,0.12202810407091987,0.07518343277204742,0.8249133884979376,0.13876452393422906,0.16739587587623223,0.13525325512954087,22.0,5.32290647422377,53.57142857142857,13.389761547007259,-0.39668762697111054,0.21927864093347585,0.7807544344599407,0.07387564759556266,-0.5666405954331802,0.5180291047026535,11.841527179734209,2.8309837103888955,0.9596252153351336,0.10574925834457732,0.610746422287928,0.27892387548228276,0.5509806904782669,1.0927551072629704,12.477179945288102,6.195308045026449,366.0,0.005317166324315577,0.02529904113345181,0.32697547683923706,0.2452316076294278,0.28610354223433243,0.1231674930419033,0.138734205733407,0.42577255223091665,104.85714285714286,7.0
16,maya,1502202102a.xlsx,left,7,0.13497797066685116,0.07675697596132025,0.9023047377302854,0.07148301626704978,0.10992952891675542,0.06113595685556012,18.0,5.5377492419453835,57.857142857142854,6.148944934663489,-0.41523634533842174,0.10190448197214466,0.6693200510438285,0.1123845438630347,-0.2143229995597513,0.24229585803551834,9.708662875814875,4.067199541366039,1.330992571994839,0.26320896799754123,1.0081334129887687,0.31791024504601034,-0.7788407632693953,2.1124770475321446,15.881234512265824,6.9436684021215855,423.0,0.004214889893151192,0.023563524066759923,0.1413427561837456,0.7420494699646644,0.24734982332155478,0.04139677644880607,0.11458839664987829,0.45936626553722953,121.28571428571428,7.000000000000001
17,maya,1502202102a.xlsx,right,7,0.06515490817046563,0.05960858747127838,0.881904003488876,0.05758687882175274,0.0791435890965206,0.06580993265082016,13.428571428571429,4.928053803045811,62.57142857142857,3.8668308667927223,-0.3844038268352598,0.06761832451050667,0.6876680862032372,0.0908092228289872,-0.18579068148878702,0.22879645056922496,9.720294868606343,3.656779805287968,2.1487898218428167,1.178436554226651,1.78611037634134,0.7359511133022874,2.7827166599340853,15.953748017355725,37.52598527257326,23.184190552923667,423.0,0.004961857866541626,0.024827095672691618,0.1413427561837456,0.7420494699646644,0.24734982332155478,0.04543716434031256,0.12492176559534555,0.4819627342823955,121.28571428571428,7.000000000000001
