Source,Exercise,Participant,label,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
naama_pilot,bend_elbows,31_1.xlsx,0,left,13,-1.285014899,6.343055717,179.0280861,2.486020404,1.018320033,6.319572804,11.76923077,6.352871348,23.30769231,7.087366876,-242.9908627,72.05155878,394.2696843,120.646077,-594.643252,938.3211266,5834.210029,2288.747763,591.4859245,321.6592353,457.1433526,105.3312021,2114.012248,3235.710797,10144.25032,4559.296086,616,1.453938106,4.174325673,0.534412955,0.388663968,0.024291498,25.99102829,28.6184313,63.47013827,1235,1
naama_pilot,bend_elbows,31_1.xlsx,0,right,13,1.957545609,4.725098365,171.6505591,6.78344433,4.100539911,4.8720577,16.53846154,9.143443777,20.53846154,6.539818864,-261.8800596,81.14050798,391.7028506,128.2426081,-620.8313803,1142.416028,5854.217328,2285.499068,449.6961909,318.783295,387.1817085,108.875047,1481.820341,2832.869763,7967.261053,5056.392416,616,1.352827129,3.937364154,0.461538462,0.388663968,0.024291498,25.63833631,28.30367405,58.69134817,1235,1
naama_pilot,bend_elbows,32_1.xlsx,0,left,11,-1.46513319,1.569730781,175.8315094,7.870868195,0.405965485,3.897165525,9.272727273,5.587323314,23.90909091,6.073788693,-221.8510745,65.67149871,543.5905054,59.68597864,-1619.065464,524.7144733,8493.845324,1161.018155,715.6619712,308.2598327,502.7630734,49.57999488,3015.130503,3170.303733,13206.16756,2987.697928,270,2.740147012,6.253422723,0.497237569,0.552486188,0.662983425,32.98065473,40.31035519,66.42581694,45.25,12
naama_pilot,bend_elbows,32_1.xlsx,0,right,11,-0.745432672,2.627601306,165.7283132,4.908668141,5.036849653,3.767827757,5.636363636,0.809039835,28.72727273,8.355727486,-176.3710679,53.10312405,453.9885045,55.76679786,-719.7916529,501.1071453,7956.616161,1158.781653,858.2360139,111.889658,483.0086374,51.2901804,4164.116281,2359.764942,14117.88853,1687.027288,270,2.566225915,5.712568132,0.497237569,0.552486188,0.662983425,30.04565375,37.21018846,59.86775742,45.25,12
naama_pilot,bend_elbows,35_3.xlsx,1,left,10,9.190756576,18.17774352,175.1364334,7.881659845,8.316472541,5.904068857,16.4,4.299870799,55.9,65.47170721,-129.2656819,41.62389188,271.0860245,88.21278116,-250.58471,391.7929283,3712.402729,1304.75472,317.3474467,93.35111229,359.3409515,80.1920189,726.0478407,1074.265815,5594.609017,1521.336735,417,1.482330852,4.776839479,0.035842294,0.430107527,0.465949821,39.14613219,45.67470591,46.22305792,64.38461538,13
naama_pilot,bend_elbows,35_3.xlsx,1,right,9,0.639039596,3.749398128,177.9115624,3.143260027,20.3608689,36.32148869,6.222222222,1.855921454,36.33333333,4.242640687,-125.6148913,26.72921047,283.2474301,77.66083884,-308.3816368,440.745558,4318.257926,1480.702907,842.7197234,164.9024299,514.0565888,73.47718001,5079.501558,2558.11074,12185.40956,2384.444116,417,1.781106027,4.731668977,0.035842294,0.465949821,0.430107527,40.29824252,44.20755611,46.22785634,69.75,12
naama_pilot,bend_elbows,36_1.xlsx,0,left,8,0.527963597,13.43376188,176.5927672,5.299066464,-3.53679264,4.042829093,10.25,5.230405611,27,13.6381817,-242.0796519,122.8260686,434.7150999,110.0653354,-607.9725278,665.4434178,7033.013137,2488.472947,655.0971106,356.0760716,490.4881864,83.79772759,2395.828566,3754.243207,12199.14032,4631.559729,158,3.23533062,6.424531404,1.31661442,0.846394984,0.752351097,28.34982923,30.66966583,41.22938734,39.875,8
naama_pilot,bend_elbows,36_1.xlsx,1,right,7,-5.922676342,2.504493513,174.5236236,5.152743601,-4.206808468,4.568132241,6.142857143,3.023715784,25.42857143,8.941609528,-234.2954366,109.5266821,538.9753467,91.21702787,-1261.920803,789.4740125,9247.552485,2481.123412,924.2651333,232.3181528,526.0759797,40.85208532,5424.558359,2761.651467,14836.1429,2923.915061,158,3.575079412,6.296465095,1.31661442,0.846394984,0.752351097,23.83574294,30.93455039,43.8126582,39.875,8
naama_pilot,bend_elbows,37_1.xlsx,1,left,13,3.97862971,5.096807926,173.0770614,7.38751451,5.933457124,3.962797727,7.307692308,2.496150883,58,9.660917831,-87.57840387,13.1665676,270.9388215,62.80097978,-65.2777802,170.2141323,3997.216956,1612.077248,713.1374415,174.8884195,497.074042,85.59337516,3598.510666,2590.999546,11564.29502,1746.095051,974,0.965971681,3.625786403,0.01537673,0.230650948,0.246027678,35.05056561,43.91485433,75.88820803,121.9375,16
naama_pilot,bend_elbows,37_1.xlsx,1,right,13,6.979521642,7.312939622,173.8431689,7.21572727,3.403135596,4.191787106,9.615384615,10.17790468,53.30769231,7.099115149,-93.18836792,12.16658322,326.1941222,46.91895003,-423.6402862,338.2485215,4965.579799,1074.467395,752.6055911,305.9512788,481.4252411,133.4044797,4398.098561,3038.021923,12602.62394,4811.833362,974,0.978142308,3.567387595,0.01537673,0.230650948,0.246027678,33.99702539,42.33076527,76.17323692,121.9375,16
