Source,Exercise,Participant,label,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
naama_pilot,raise_arms_bend_elbows,36_2.xlsx,1,right,4.65751617,1.153707831,1.290193797,-0.045044662,0.089325922,0.732843234,2.454907182,-1.581164569,-1.267511976,-2.800149668,-0.624109905,-1.600710621,0.597994104,3.331004095,0.600872669,0.027447665,0.122226194,1.925400043,0.146572661,1.095517953,0.397634723,1.291905009,0.917317844,0.726691565,0.792528664,1.05113305,0.591385326,0.636915635,0.185144452,-0.756894096,-0.810243989,2.079759902,-1.917435877,-0.454892053,-1.255635735,-2.144789588,7.844354647,-2.760839368
naama_pilot,raise_arms_bend_elbows,37_3.xlsx,1,left,1.384120857,1.054176853,2.291864263,-0.224391841,0.666181588,-0.061944779,0.059457397,0.655334884,1.962658059,1.634337961,1.753620061,0.559155091,-0.307182155,-1.733096218,-0.360220702,0.379679918,-0.389199252,-0.846927658,-0.42646305,-0.56223329,-0.444870547,-0.60821595,-0.110082097,-0.534069572,-0.62451888,-0.593472396,-0.176199521,3.046523957,-0.807381169,-1.088364484,-0.282660492,-2.063186549,-0.719624556,1.501648183,0.35552145,-0.321893863,0.220281199,1.172810391
naama_pilot,raise_arms_bend_elbows,37_3.xlsx,1,right,1.929686743,5.249882311,4.04084638,-1.008739573,3.073000942,2.458219767,2.264183148,-0.316827512,1.292649983,2.612934244,9.904419945,0.609462846,-0.282470546,-0.974878315,0.343901863,-0.087455477,0.372036665,-0.152717482,0.217433088,-0.353624048,0.733442397,-0.342002089,0.821680162,-0.163092695,0.289842494,-0.212646487,0.530179614,3.046523957,-0.843828156,-1.217599777,-0.282660492,-2.063186549,-0.719624556,1.252877977,0.008408908,-0.368318206,0.220281199,1.172810391
naama_pilot,raise_arms_bend_elbows,38_1.xlsx,1,left,-0.798142684,0.063223451,0.511159454,-2.498800135,7.413857529,-0.556646669,0.14220304,-2.060740694,-1.656543777,-3.888718982,-0.569203179,-4.818655059,3.88451244,5.744582193,4.087899417,-8.879185273,5.73832613,6.169303768,3.129440013,1.315388928,2.903628199,0.886044611,4.429698025,2.831068987,2.541597801,1.084895764,3.124780016,-1.604730714,0.874153503,-0.854653653,1.914644157,-1.673792153,0.299307094,-1.046694033,-1.648533387,-2.476930987,-0.332704628,-1.187379464
naama_pilot,raise_arms_bend_elbows,38_1.xlsx,1,right,-0.798142684,-0.426978985,0.115113133,-0.426122794,2.388332699,-1.023360261,-0.467029719,-1.878045027,-1.482229911,-3.708654885,0.642255059,-7.681163873,3.644222806,5.548411,2.613599145,-6.472575316,3.463411116,6.802548822,1.853997981,1.888872026,1.792563324,1.995802673,1.784618382,2.576952464,1.571079032,1.867195206,2.546333637,-1.604730714,0.861780827,-0.349605631,0.232792051,-0.087821225,-1.639390108,-0.528002732,-1.402020318,-1.684290592,2.716117473,-2.760839368
naama_pilot,raise_arms_bend_elbows,39_1.xlsx,1,left,3.020818514,0.405579911,-0.349796952,0.171541711,0.46888844,0.825552213,0.16736661,0.276826938,0.831375173,-0.339063808,1.64181137,-0.098046491,0.024482913,0.239426082,1.440339681,-0.027068055,0.157454091,-0.062182157,0.651599848,-0.307635941,0.287992474,0.099826974,0.643569136,-0.289800495,0.101744576,-0.173955185,0.587788141,3.466428893,-0.614414909,-1.158952239,0.492934643,-0.113176476,-2.004348693,-0.277417637,-1.152790111,-0.455648658,14.33420169,-2.760839368
naama_pilot,raise_arms_bend_elbows,39_1.xlsx,1,right,3.020818514,3.336375609,4.14252745,-1.037606949,1.612280653,3.111785203,4.151198814,-0.688180942,-0.111779176,0.869758102,2.104838808,0.527892735,-0.143632115,-0.217308929,0.573675709,0.132822022,-0.022044613,0.239307737,0.19210777,-0.349129275,-0.23633609,-0.447885279,0.203665438,-0.333602418,-0.404129192,-0.489378392,-0.375811271,3.466428893,-0.690296266,-1.275410072,0.492934643,-0.896653721,-2.004348693,-0.606053098,-1.377179721,-0.227475137,14.33420169,-2.760839368
naama_pilot,raise_arms_bend_elbows,40_2.xlsx,1,left,1.384120857,-1.214264213,0.427918498,-0.288793606,3.530850815,-0.595797538,0.111149177,-2.060740694,-1.884825049,-2.73630876,-0.034985345,-1.930026422,0.804675883,3.223759316,3.089133603,-0.804727537,1.918996428,2.734133533,1.968283653,2.759602222,1.407288538,1.995812253,2.044793987,2.48041501,1.687002611,2.520722265,1.540741096,-1.268806766,1.274626458,0.03896648,-0.469111763,3.515415901,1.908363131,-0.234520066,-0.842940031,-1.473481524,-0.636846833,0.779445415
naama_pilot,raise_arms_bend_elbows,40_2.xlsx,1,right,0.838554972,-1.501464874,-0.332418529,0.817404067,0.510572416,-0.152571905,0.527640189,-1.850979003,-1.258065989,-2.824703863,-0.257176633,-2.99466928,2.537547175,4.48208841,2.706985124,-1.368043059,3.320318503,4.18955922,2.997693662,2.532920542,1.332646803,1.983458384,1.665704705,1.918247648,1.587636137,2.326758945,2.047007192,-1.268806766,1.207087947,0.497770148,-0.469111763,2.195908587,-1.720821654,-0.023842428,-0.412632016,-1.428585496,3.485723052,-2.760839368
naama_pilot,raise_arms_bend_elbows,41_1.xlsx,1,left,5.203082056,0.245327554,1.313953547,-0.418345261,1.163652854,0.195481259,1.40603942,-1.147262361,-0.327533877,-3.292677933,-0.216356985,-3.864414309,2.711030086,2.593232029,2.83524903,-5.160880324,6.547734334,2.685014129,2.289961045,0.662624661,1.364570668,0.408102515,1.789935786,0.951304927,1.767440373,0.488235295,2.116853459,-0.047852414,0.546303741,-0.36347418,-0.734371314,-1.656293978,-1.873706068,-0.090081796,-0.867502717,-1.807773472,6.282943329,-2.760839368
