,Source,Exercise,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
292,YDS,bend_elbows,21.6 15.21.13.xlsx,left,7,0.20908378798551125,0.0027254406914876813,0.8941638724435693,0.0043197545670189555,0.209458502861064,0.0064202535644971885,22.0,2.2360679774997894,93.42857142857143,4.720774754816658,-0.21985451631678687,0.012981856294227972,0.4890519485751853,0.03067778216233495,-0.05602759257609512,0.049199693860407775,4.085445349530446,0.2859179948482259,0.9415425984342474,0.09323754995951451,0.7841304360119087,0.1908439394915053,-0.008695039876491709,0.14273279409050155,12.703735416669488,4.596209620685063,690.0,0.002833273347861415,0.01677577595273967,0.5422993492407809,0.19522776572668113,0.1735357917570499,0.08440021975059867,0.11096974258523423,0.3803867607103254,172.875,8.0
293,YDS,bend_elbows,21.6 15.21.13.xlsx,right,7,0.214335372350859,0.00344877114365685,0.9122363862981128,0.006267525929866076,0.291116226249578,0.13336930336476482,28.142857142857142,6.4142698058981855,85.42857142857143,10.438025721005909,-0.21769306847808015,0.04971674692687868,0.4730420358943408,0.040612447040355014,-0.15797227736107206,0.1881318965658641,4.470021133262382,0.9326508901995058,0.7752932375598066,0.16948831034724285,0.6771690985599738,0.08199874723502523,0.0558673085472317,0.13316393213195502,8.889921394180153,3.5018147116247698,690.0,0.002729027370653001,0.016926378920738165,0.5422993492407809,0.19522776572668113,0.1735357917570499,0.08092805403206513,0.1122537570193288,0.3868430419136467,172.875,8.0
294,YDS,bend_elbows,21.6 15.36.34.xlsx,left,7,0.24242579367183703,0.03417838714102582,0.8993320826284983,0.005805610257838885,0.2377503735453377,0.016953787369765553,31.714285714285715,6.473388749701496,82.57142857142857,10.61221219251894,-0.24112269334694597,0.03210681046583925,0.7915030639448465,0.20330644071080045,-0.3337104521630047,0.7312147921514404,11.510365269455423,4.47287450102986,0.6406883105016438,0.1170101940246139,0.6001562008946898,0.09639719544611428,-0.018022789987054606,0.09220556271516686,7.41456450686011,1.9593099997979975,663.0,0.0032513840846761606,0.016618798654515494,0.22573363431151242,0.20316027088036118,0.18058690744920994,0.08290605453297663,0.12316498911149124,0.3531571943709898,166.125,8.0
295,YDS,bend_elbows,21.6 15.36.34.xlsx,right,7,0.2647305592269128,0.03174984838515111,0.8937207038991005,0.006528514536604093,0.2454047344776764,0.024789609149073834,39.57142857142857,6.629659188252512,87.42857142857143,9.812528434899656,-0.22438917065853303,0.028670826609448207,0.43166095945822386,0.0360820755886558,-0.04247666828971235,0.040138110034128906,3.271362301510728,0.9263137518044603,0.48767260810697416,0.08431224028092146,0.41085254403750276,0.04162231514901415,0.03286691840841246,0.04134833527557012,3.6634363068291065,1.038594131331476,683.0,0.0022568825791104328,0.015426968330163408,0.5482456140350876,0.19736842105263158,0.17543859649122806,0.08613510116343946,0.11659307847945521,0.3448853523642102,171.0,8.0
296,YDS,bend_elbows,21.6 15.44.14.xlsx,left,7,0.3742790939341029,0.17147695321995143,0.8931578775490916,0.044870926776247363,0.43730036498758984,0.16840748512889456,38.42857142857143,14.886875011870275,119.0,78.94723976597705,-0.16212939438008522,0.08928344570932152,0.3307009300546429,0.2574729791388668,-0.24001583019519152,0.3893935820248503,3.32478334565322,3.6460329907394593,0.44941085681257026,0.2392309675773542,0.53326017390456,0.33682565062738967,-0.05951681453983727,0.15774238173055222,6.689078083511549,4.158998846623796,682.0,0.0027041480699411227,0.010944931469177544,0.06583760058522312,0.26335040234089246,0.17556693489392833,0.09052549757978914,0.10468178197135278,0.1509111123905111,170.87499999999997,8.000000000000002
297,YDS,bend_elbows,21.6 15.44.14.xlsx,right,6,0.35785550928259485,0.1483281398018575,0.8878983958022871,0.01027321153732159,0.3893378631044362,0.12365791544277695,47.666666666666664,22.35769815223979,104.33333333333333,47.584311139982546,-0.15938052962736815,0.05798956222188406,0.29792861738440773,0.2177414826016427,-0.07582761736973455,0.08716718212924489,2.354620371499714,2.1851191085094035,0.40703051076665203,0.24213356162943894,0.41931241283245213,0.2498454425332324,-0.07051299098166584,0.17974816526794338,4.202331504681814,2.4370866829085167,677.0,0.002527970228544798,0.011403933936762646,0.04424778761061947,0.08849557522123894,0.17699115044247787,0.09490029660212232,0.10132808919644674,0.18416371601291265,169.5,8.0
298,YDS,bend_elbows,21.6 15.55.3.xlsx,left,7,0.2672593601712782,0.008410540571335912,0.8659523416194322,0.008169200374389955,0.2781091074294764,0.01017791795174796,24.428571428571427,5.968169536721256,83.85714285714286,20.513642382802814,-0.21931998179285714,0.04748141432059708,0.4086006021920546,0.054401535318035765,-0.07073338714136958,0.12055427627178802,3.6288746047275224,0.9226216192272211,0.7727816597974827,0.19346217702289784,0.5466175249658087,0.10676416853958003,0.19332884137217102,0.10054151530304102,7.3309547339399925,2.803683532667711,686.0,0.002534829910103526,0.014773982847493202,0.3711790393013101,0.19650655021834063,0.17467248908296945,0.07059728276411814,0.08335533356848872,0.3299542687370299,171.74999999999997,8.000000000000002
299,YDS,bend_elbows,21.6 15.55.3.xlsx,right,7,0.24588473982140166,0.0037668143298497402,0.8943378498774764,0.004843039269888197,0.24022391817293223,0.007047694403688032,29.428571428571427,7.457817885886436,87.85714285714286,16.456291313948103,-0.22854360248601396,0.035424913226167705,0.36316992747531057,0.04493641214878632,-0.026185549631994952,0.014258229602692761,2.9531452449273212,0.5072711217487351,0.704619089455729,0.21629622242986607,0.5125599885487303,0.07271963813308738,0.1633475887511528,0.18555309509022147,5.7492020624528015,1.531833614732436,686.0,0.002497235478221259,0.015903095706081404,0.02183406113537118,0.19650655021834063,0.17467248908296945,0.07001157959157421,0.09147998433277885,0.3605223372935266,171.74999999999997,8.000000000000002
300,YDS,bend_elbows,21.6 16.13.49.xlsx,left,14,0.6428516860562118,0.13490766558774378,0.9005337466961415,0.010254793098481967,0.6306242185521931,0.12398832496553877,6.928571428571429,2.786348194992195,61.714285714285715,62.61042991439952,-0.3396600087336483,0.29179592995495135,0.4679841116424911,0.22169653854209803,-1.5678447596067209,2.1631338090760073,7.265962786201608,3.5100346566466687,1.1448514250033899,0.484594249796849,0.5599111676954264,0.28045471438821634,1.4657114151227835,5.38761366805664,16.888660955940562,7.731058181965639,686.0,0.0022900304591187697,0.005608898768935008,0.19650655021834063,0.1091703056768559,0.08733624454148473,0.043362661724479515,0.04369355732404594,0.04387910455584373,343.49999999999994,4.000000000000001
301,YDS,bend_elbows,21.6 16.13.49.xlsx,right,16,0.5193943759666951,0.06574097316120582,0.8881930159103948,0.03081400391812312,0.5796247135787498,0.10506646780530256,9.9375,2.743932700826802,55.75,54.38688567415249,-0.3310020560587264,0.26810784863091947,0.5959952176962106,0.3808973698453808,-2.882404071423773,3.4816549281747955,6.153819579362725,4.317357316859943,1.1387181326565363,0.26980346344131206,0.7335662575661221,0.19406878961638296,-1.7593410141252395,3.2392962754279417,16.39797110800053,6.791945612970934,686.0,0.002309072694334534,0.0050423865699833785,0.480349344978166,0.2838427947598254,0.1310043668122271,0.031299575181460745,0.03277316147207656,0.04445907657021124,228.99999999999994,6.000000000000002
