Source,Exercise,Participant,hand,label,Unnamed: 0,Unnamed: 0.1,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
maya,raise_arms_horizontally,1312202001a.xlsx,left,0,10,10,-0.533160374,6.608060415,-0.53645824,1.392007863,-0.90176691,8.75072971,-0.514119802,0.23466015,0.168572125,0.741988274,-0.372483962,0.445963864,-0.609905516,0.274868498,-0.692483251,0.320926997,-0.267131107,-0.384683809,-0.616955831,-0.196191604,-0.311319635,0.071956951,-0.521492711,-0.267894963,-0.173132859,-0.179464116,-0.271623757,1.412122286,-1.050112827,0.052100975,-0.969755582,-0.912956674,-0.283055469,-0.790698961,-0.642964525,1.78108621,-0.200585302,0.081813449
maya,raise_arms_horizontally,1312202001a.xlsx,right,0,11,11,-0.533160374,5.86604348,-0.557649772,1.350096319,-0.852182201,7.847915404,-0.523082543,-0.585722875,-0.56112511,2.014394419,-0.088732687,0.818492845,-0.760850857,0.191381523,-0.742518612,0.343747998,-0.250166958,-0.395816186,-0.684131491,0.255795822,-0.292471045,0.295915746,-0.508516555,-0.168884212,-0.170017323,0.045518109,-0.352503831,1.412122286,-0.854206213,0.201169129,-0.969755582,-0.912956674,-0.283055469,-0.731816187,-0.559244071,2.008461282,-0.200585302,0.081813449
maya,raise_arms_horizontally,1502202101a.xlsx,left,0,12,12,-0.533160374,6.038206444,-0.115374659,1.238789186,-0.469730031,7.818756611,-0.209691927,0.284887683,2.287105437,2.252970571,0.13393186,0.906153957,-0.635279578,-0.337467183,-0.582727335,0.310363797,-0.224939095,-0.454378799,-0.516411378,0.711216754,2.351321016,0.532084193,1.985972132,2.009696139,2.935447138,1.277223114,2.906437791,-0.341352715,-0.657139498,0.096049067,-0.051413568,-0.959012763,-0.271215519,-0.106331027,-1.228874833,1.669047188,-0.202824154,-0.354524945
maya,raise_arms_horizontally,1502202101a.xlsx,right,0,13,13,-0.533160374,6.362641634,-0.011662107,1.775890927,-0.717812015,9.212932263,-0.169738604,0.736935472,0.559571555,0.869228888,-0.659954985,0.360438273,-0.618100618,-0.159670861,-0.402461957,0.242257715,-0.234818194,-0.254234017,-0.424359616,-0.213243151,-0.226023298,-0.489882594,-0.281026113,-0.112589209,-0.161411835,0.082276423,0.075886316,-0.341352715,-0.789390403,0.361867445,-0.051413568,-0.959012763,-0.271215519,0.022361983,-0.986018401,1.957091855,-0.202824154,-0.354524945
maya,raise_arms_horizontally,1502202101b.xlsx,left,0,14,14,-0.533160374,6.364955278,2.512255768,1.931023995,-0.646221606,7.052553622,0.345583903,1.088528197,-0.182089097,0.455696891,-0.626876548,-0.077758209,-0.543849954,-0.362663712,-0.549731159,0.179221522,-0.227182976,-0.093121271,-0.317486845,-0.345804942,-0.441880963,-0.400744102,0.184564009,-0.283013391,-0.089876402,-0.121488059,0.395054858,-1.721136323,-1.068020356,0.692349632,0.295611746,-0.607918005,0.158765013,-0.143724395,-1.40410479,2.420409609,-0.274467407,-0.354524945
maya,raise_arms_horizontally,1502202101b.xlsx,right,0,15,15,-0.533160374,6.866662452,0.435278371,2.114148342,-0.772680299,8.626329558,-0.009131022,0.753677983,-0.446393985,0.503412122,-0.447064658,-0.032456218,-0.545266042,0.199021959,-0.273417312,0.38272695,-0.206297495,0.814680187,0.065161323,-0.196533025,-0.416630583,-0.137224746,0.231640618,-0.209958024,0.012521667,0.0893971,0.421971857,-1.721136323,-0.631696897,0.834150852,0.295611746,-0.607918005,0.158765013,-0.143485516,-1.191786588,2.577552189,-0.274467407,-0.354524945
maya,raise_arms_horizontally,1502202102a.xlsx,left,0,16,16,-0.533160374,7.76965924,0.659263839,1.475962817,-0.801657794,9.411597077,-0.499272487,-1.255423304,-0.509985071,0.901039042,-0.645666587,0.541841052,-0.768914588,0.249628688,-0.570856492,0.121316773,-0.225772927,-0.304228068,-0.587374135,0.757869757,0.294830968,1.841615013,1.16524179,-0.586655578,0.14370981,1.249497949,1.489577782,-0.082643289,-1.395288272,0.312937061,8.643683687,5.541754113,-0.344788699,-2.309349412,-1.849745941,2.984851339,-0.18864476,-0.354524945
maya,raise_arms_horizontally,1502202102a.xlsx,right,0,17,17,-0.533160374,6.3128166,0.323263488,1.366936437,-0.814133267,8.237492314,0.106822554,-1.573531007,0.386621018,1.632672575,0.937031763,0.679260695,-0.521151392,0.343576689,-0.654821242,0.1949121,-0.186035718,-0.259063569,-0.571809858,2.098316323,2.810093831,4.169947338,2.295456417,2.19936793,5.173234184,4.127919752,3.099438387,-0.082643289,-0.868456626,0.563964389,8.643683687,5.541754113,-0.344788699,-2.161472784,-1.68078248,3.36332443,-0.18864476,-0.354524945
maya,raise_arms_horizontally,1502202102b.xlsx,left,0,18,18,-0.533160374,7.406124859,1.382441042,1.470988056,-0.864148788,8.923773293,-0.270307688,-0.903830579,-0.509985071,0.757893351,-0.127944822,0.415651572,-0.431419249,0.16676055,-0.527472189,-0.051801677,0.036212616,-0.328118397,-0.625926396,0.419201644,-0.110004611,1.52454443,0.119751466,-0.517606622,0.010363255,1.260288854,0.572018494,-4.308230586,-0.744286635,0.268059488,7.711275019,5.723802704,1.357755396,-1.986010725,-0.915867395,1.068775958,-0.408052222,-0.354524945
maya,raise_arms_horizontally,1502202102b.xlsx,right,0,19,19,-0.533160374,6.200161293,1.146266541,1.342075293,-0.82465264,8.500447036,-0.052009213,-1.339135857,-1.230917275,0.853323812,-1.062489772,0.541626836,-0.858529836,0.225235338,-0.504908348,0.048162982,-0.168884097,-0.370300511,-0.58639266,0.795987322,-0.307145742,3.44092522,1.022458343,-0.759828903,0.129829792,3.407776888,1.56236931,-4.308230586,-0.265451148,0.46347465,7.711275019,5.723802704,1.357755396,-1.961593187,-0.726567836,1.225258363,-0.408052222,-0.354524945
maya,raise_arms_horizontally,1502202103a.xlsx,left,0,20,20,-1.179415373,7.225079658,-0.366046029,0.417044379,-0.866357614,9.377310088,-0.496068936,-0.317842703,-0.141045628,1.274808347,-0.57185399,1.150538142,-0.841191105,-0.629835286,-0.645818903,0.119816222,-0.225251497,-0.631767867,-0.62478178,-0.442575894,-0.297601639,-0.701997116,-0.462309397,-0.264019892,-0.177200077,-0.334783592,-0.217833586,0.003593186,-2.368996812,-1.069973925,-0.77292435,5.477296718,-0.367342989,-2.057708561,-2.800011834,0.844078893,-0.184167056,-0.354524945
maya,raise_arms_horizontally,1502202103a.xlsx,right,0,21,21,-1.179415373,5.448535173,-0.429225675,1.494615409,-0.811965978,7.340827408,-0.355755097,-1.196824516,-0.54276173,2.146936726,-1.207543658,0.797811528,-0.929438454,0.158333148,-0.609204804,0.255817681,-0.194331768,-0.134512754,-0.573870816,0.89289047,-0.089537182,-0.253193031,-0.551354858,0.189651275,0.093259442,0.473071195,-0.042412846,0.003593186,-1.660317731,0.68432442,-0.77292435,5.477296718,-0.367342989,-1.409040047,-2.272916552,3.576739511,-0.184167056,-0.354524945
maya,raise_arms_horizontally,1502202104b.xlsx,left,0,22,22,2.69811462,8.684916702,3.68134111,2.131294885,-0.558701033,10.40909392,-0.223182398,1.342456276,0.670549211,1.757262344,1.299344579,0.464765177,-0.229373581,-0.423757704,-0.642449566,0.313927439,-0.235652482,-0.36708409,-0.551131104,-0.4894928,-0.348128105,-0.794625565,-0.363246788,-0.2173547,-0.169076129,-0.299842146,-0.233597512,7.707384993,-1.614992391,-0.82674482,0.461697205,-0.43988492,-0.476160431,-0.773414583,-0.553030769,1.038919907,-0.161642852,1.390828632
maya,raise_arms_horizontally,1502202104b.xlsx,right,0,23,23,2.69811462,9.268057251,3.782339407,2.155514569,-0.490522414,10.96407231,0.172749778,0.561139109,0.508066717,1.404699808,1.62620411,0.318719267,-0.078983585,-0.192154373,-0.540044699,0.298900065,-0.11530764,0.131537635,-0.33021005,-0.256805758,-0.206230629,-0.471675439,-0.285926458,-0.124502964,-0.114621167,-0.067354534,-0.154450072,7.707384993,-1.469781086,-0.782483035,0.461697205,-0.43988492,-0.476160431,-0.761944276,-0.482066947,1.097344175,-0.161642852,1.390828632
maya,raise_arms_horizontally,1502202106b.xlsx,left,1,24,24,-1.179415373,6.772321571,-0.363653614,0.920790505,-0.743359286,9.034254771,-0.427943248,-0.884297649,0.316797192,-1.861142632,-1.251919007,-0.901853492,-0.591325434,1.056202525,-0.084780055,0.131199288,-0.011198523,0.648546853,-0.253199903,0.285840975,0.100130608,1.061921103,0.006235282,-0.313947345,-0.127563746,0.478619342,0.024768833,-6.004214603,1.943730546,0.727206156,2.964663412,1.455115194,3.577346269,-0.064239874,-1.278147484,-1.467089335,-0.536879478,0.081813449
maya,raise_arms_horizontally,1502202106b.xlsx,right,1,25,25,-1.179415373,6.428514715,-0.341777014,0.806993514,-0.627430936,8.574039598,-0.424692937,-1.548417241,0.211129254,-1.323020866,-0.388819635,-0.448464489,-0.190228544,1.26238466,-0.068426622,0.138556217,-0.194937458,0.808387349,-0.147781782,0.867317918,0.172093453,1.082743224,0.026862526,-0.301785591,-0.086549581,0.751004447,0.044804199,-6.004214603,2.169538987,0.817084761,2.964663412,1.455115194,3.577346269,-0.034062211,-1.260550308,-1.453420243,-0.536879478,0.081813449
maya,raise_arms_horizontally,1901202101a.xlsx,left,1,26,26,4.636879616,3.781972488,6.202428641,0.328340484,0.790126279,6.15774038,5.197931403,-2.380520024,0.699722334,-2.922541425,0.999704214,-8.624479403,13.98248974,4.603362228,6.113706138,-31.06267078,19.26775815,9.598325927,13.86844697,4.208441299,4.769633338,2.773488918,3.761408149,7.109585063,5.276265653,4.618840689,4.068361486,-2.842210503,2.166248243,-0.856241294,1.071991067,3.149447071,0.006566075,-0.854212229,-1.946175807,-1.742368869,-0.251083845,-0.79086334
maya,raise_arms_horizontally,1901202101a.xlsx,right,1,27,27,-0.533160374,6.58621923,0.793822306,1.419510838,0.092928308,10.26854536,3.30380911,-0.4685253,0.759726986,-0.450892487,-0.156031581,5.08E-05,0.223949506,1.089526353,0.911294885,-0.23704572,0.148715674,1.990022866,1.429069497,0.209905051,-0.215373268,0.198474827,-0.355315049,-0.44543377,0.303756557,0.626326451,0.008693429,-2.842210503,0.212722747,0.803787394,1.071991067,0.319083806,0.006566075,-0.335339465,-1.540687103,1.793428431,-0.251083845,-0.79086334
maya,raise_arms_horizontally,1901202101b.xlsx,left,1,28,28,5.283134614,3.666108114,6.240331387,0.708318406,0.306071028,3.97087797,7.079553663,-2.522622084,0.806034895,-2.976817499,0.426454238,-9.051532586,14.12142468,6.628359553,8.915395985,-32.67452867,18.66802352,14.1843324,19.97331931,6.233957461,6.103203562,4.663653761,5.835809631,13.685022,9.062671379,6.375111648,6.023090538,-0.628807633,3.034175192,-0.707005434,-1.686414226,-0.896122716,-0.194195013,-0.652820255,-1.434328781,-2.097073527,-0.217003547,-0.354524945
maya,raise_arms_horizontally,1901202101b.xlsx,right,1,29,29,0.759349623,6.269809949,-0.293445782,1.668556483,-0.497473723,8.399993155,-0.318697313,-0.070425601,0.669059239,-0.784899101,0.42885689,-0.87750698,0.615780105,0.174525071,0.447437152,0.197032105,0.036444964,1.308851468,1.470319768,0.160063729,-0.045083477,0.150164989,0.201084069,-0.067202881,-0.011872695,0.748160025,0.457206693,-0.628807633,0.196856164,-0.213035823,-0.328684815,-0.896122716,2.209076407,0.445471834,-0.940450303,-1.556131707,-0.469185311,1.827167026
maya,raise_arms_horizontally,1901202101b.xlsx2,left,1,30,30,6.575644612,2.751849284,7.024565519,1.617408873,0.129804893,4.956992899,7.030401079,-2.752947874,0.00720791,-2.925015548,1.25686382,-12.17092514,14.53718762,8.045124365,8.677161603,-45.79626109,25.77315602,14.24672706,16.64087264,8.767507196,6.923095708,6.963298833,6.042409292,6.992116753,8.502094634,11.55445031,7.760856831,1.843304663,2.649829056,-0.180834276,1.775933892,-0.243533673,-0.386358933,-0.999579892,-0.119364945,-0.935539165,-0.180342352,0.081813449
