,Source,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
90,naama,3_1_1.xlsx,left,12,0.34112340658374696,0.3672580521342587,0.9479770646775295,0.06561434421379095,0.35741749602061285,0.3784151260519968,7.5,3.2613438390276537,35.75,21.032982756527037,-0.7517942717319192,0.8421804669126998,1.4510631172661983,0.9458710138018551,-3.380077171077002,4.429139487429418,27.147356550906352,13.980974302609264,2.63552565561791,2.041651790236811,1.6110676865935112,1.1821245209331417,11.043825810009388,17.775030056801832,44.22114134646913,30.019560269213994,540.0,0.007284500884545867,0.01807602695286714,0.4155124653739612,0.13850415512465375,0.33240997229916897,0.11948663231448682,0.14472285432313042,0.1529278498062376,90.25,12.0
91,naama,3_1_1.xlsx,right,6,0.002684142818927314,0.011950123617098246,0.9222040462480354,0.037474251414096826,0.03729407024061805,0.05667826220302201,25.333333333333332,1.3662601021279466,38.166666666666664,6.997618642557384,-0.7076464620307806,0.1308790171062367,1.1546306427331066,0.1585172330085681,-0.5623008309598395,0.4312021778573536,16.47732036137945,4.508246669983909,1.0876212227383102,0.049936289295413334,0.9034900583119189,0.1295170812793336,0.22569308195498386,0.210736240928343,10.619029130063764,1.9066453014719082,540.0,0.006664703452619401,0.023987837905622998,0.24930747922437674,0.055401662049861494,0.027700831024930747,0.18680545563869702,0.19501541998791372,0.28961264955773364,1083.0,1.0
92,naama,3_1_2.xlsx,left,6,-0.012898754321191043,0.030935308588118146,0.7801874123151227,0.38357396674385125,0.001148746443036733,0.027841675164964226,22.833333333333332,15.34166440340378,12.833333333333334,5.706721183540218,-2.1245069199640514,2.111459444959548,1.9516062507419054,1.0436575353885986,-7.996441795100705,12.89080496124788,37.57213976487346,30.409759667377475,1.6764557078826712,2.283112724901163,1.1412987560828929,1.0738836634495517,6.747852602626633,16.715904164386885,21.91841005317828,32.98767273105936,428.0,0.009030777637444257,0.02861008477090857,0.06993006993006994,0.13986013986013987,0.03496503496503497,0.14117835078747581,0.15901700254453294,0.434405351381476,857.9999999999999,1.0000000000000002
93,naama,3_1_2.xlsx,right,4,0.015705778850619904,0.016640577041724235,0.8794925649046368,0.023749219884185307,0.015315836811768535,0.00989370565697173,33.75,8.845903006477066,23.25,5.188127472091126,-1.1555022741221734,0.25404144201266554,1.2951497245625894,0.08642494630236917,-0.06328712987700821,0.24959314847472586,18.200786298023417,1.9234510653182222,0.7984866923866728,0.18067449188031465,0.5690381128673189,0.33015947831820375,0.30230730655868954,0.24952721741847256,6.903486287700066,2.7226279600570105,428.0,0.007246358053253747,0.026708986328404377,0.27972027972027974,0.24475524475524477,0.03496503496503497,0.13401369135756164,0.14799938904886756,0.4051411266463008,857.9999999999999,1.0000000000000002
94,naama,4_1_1.xlsx,left,7,0.046458251191658105,0.0778494645871703,0.847550651219825,0.06275251950087209,0.05788136391285686,0.06598452988363186,16.428571428571427,8.059303999253345,48.57142857142857,25.73491236211451,-0.68252806710089,0.4645877170076559,1.440897296579252,1.103148003892585,-2.464966637495017,5.205367888918166,21.113016702689162,21.4916528258364,1.8745145895097957,1.2273714138967067,1.398600078890427,0.737998231397449,3.3455286580342842,8.951393807348364,31.07312777004492,26.067483468760987,340.0,0.009735461221889015,0.02852914155952714,0.21961932650073207,0.3074670571010249,0.2635431918008785,0.17507535336185043,0.19768204601640973,0.3341745679061744,113.83333333333333,6.0
95,naama,4_1_1.xlsx,right,6,0.006417668720466758,0.013371143127339884,0.8251820415057035,0.07393425908726985,0.07265510983901242,0.15266029920091267,27.166666666666668,17.13962271074444,53.333333333333336,19.653668020668984,-0.42227974286156034,0.04855503187230807,0.901774756321072,0.4871344090416281,-1.6957668723500336,4.043046473113655,12.388516385058324,10.376107292344663,1.3613999154050482,1.0095593238275002,1.2094372639950863,0.8928759310645348,0.26133186927454655,2.3833648190250307,26.577606520935586,24.96305988016641,340.0,0.008617358608668588,0.026464132810467715,0.21961932650073207,0.3074670571010249,0.2635431918008785,0.16955624539399547,0.19140742499793484,0.3057808785699293,113.83333333333333,6.0
96,naama,4_1_2.xlsx,left,6,0.022985668229963025,0.02829672972448526,0.8669102027593752,0.030479264627007764,0.01271020046168931,0.01883659240948192,16.333333333333332,6.742897497861485,15.333333333333334,8.914407813571616,-2.491500442634551,1.8220042809001564,1.803078023719527,0.8173359593358935,-11.116709058369858,17.229435749493575,42.162164909980454,33.653475171681094,1.6758683389104607,0.5213321295227759,1.3797753965075579,0.5742144827748864,0.6481485699190014,1.8430621985807598,25.868117460509875,16.99547523533659,175.0,0.0131034067183772,0.03373788835163706,0.7670454545454546,0.42613636363636365,0.34090909090909094,0.15657654327271067,0.17352469128012224,0.24940416170412885,87.99999999999999,4.000000000000001
97,naama,4_1_2.xlsx,right,8,0.09163312742489024,0.12919887847167966,0.6875412195340087,0.14617068105822806,0.0939938912945782,0.1277193038129699,11.375,6.802048010919736,11.5,13.158375931050806,-2.524772042242803,2.1450333088092526,1.408839215789261,0.6411060259549426,-13.181596571886013,22.85620640025504,30.928256247622492,28.37613434451,2.003718756385595,1.7799349367459187,1.1187594237107488,1.0505807628846555,11.625459855788783,17.374488621564975,23.58579822714709,29.352985426876092,175.0,0.013510028010669896,0.02761858696446617,0.42613636363636365,0.08522727272727273,0.34090909090909094,0.14177816764886075,0.14228172162874292,0.20796267254538423,87.99999999999999,4.000000000000001
98,naama,5_1_1.xlsx,left,5,0.2743130847498219,0.20275782383372573,0.8844289559570937,0.01999657116100008,0.026259519936052654,0.0110785473684336,11.4,6.6558245169174945,46.0,12.922847983320086,-0.6100864345081843,0.25598585081746894,1.2503626892217263,0.8286157484771451,-1.6808341405808158,3.430407957593601,14.07867708791299,15.254702934320134,1.8498480735624123,0.6553659084737407,1.3722990741524113,0.40978449722756133,4.224875234978386,4.630224503156607,36.95456898862182,28.666606746889634,583.0,0.005831050363996862,0.02426733480316738,0.1283147989734816,0.05132591958939264,0.02566295979469632,0.17130566899134383,0.1863736966669195,0.3657588343732645,1169.0,1.0
99,naama,5_1_1.xlsx,right,5,0.008479299231356936,0.028095344458630114,0.8306238285877321,0.021410628209925713,0.008617571153742048,0.026321117020981517,12.0,7.0,45.4,23.52232981658067,-1.31497990953949,1.951370129453583,1.3150650719360322,0.9032306349158834,-7.550229237305023,17.06088711742087,24.063946955784175,32.607363929516914,2.8243048362237757,1.9076513418266983,1.769115627727413,0.8116323321744962,14.18755850938158,17.088404898913197,40.9955316080619,34.16521638037126,583.0,0.006074100876469729,0.022696756994943036,0.1283147989734816,0.05132591958939264,0.02566295979469632,0.18436055627987447,0.20136497854570673,0.3278538275470997,1169.0,1.0
