Source,Exercise,Participant,hand,label,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
naama,raise_arms_horizontally,16_1_2.xlsx,right,1,13,0.251241771,0.101228573,1.013350155,0.332695328,0.25213828,0.091059091,29.61538462,18.53167766,54.76923077,30.95737351,-0.734366702,1.118556775,0.556654837,0.249471037,-0.179592671,2.066418722,9.877220024,15.12671891,1.143331781,1.342641897,0.65518582,0.71000071,3.992791145,8.629897761,14.57173316,25.45816528,951,0.003612553,0.019492202,0.047244094,0.204724409,0.157480315,0.131293756,0.237096145,0.418325117,190.5,10
naama,raise_arms_horizontally,1_1_1.xlsx,left,0,4,0.166631977,0.012805607,0.80347768,0.153765678,0.221929588,0.02067685,30.75,13.1497782,72.5,14.84362939,-0.246373746,0.080631643,0.484368982,0.088828905,-0.334715346,0.232661481,5.786629125,1.490188439,0.673959787,0.180857861,0.43385644,0.115888525,0.440043146,0.95339294,8.502119737,1.688795173,408,0.003410385,0.021738393,0.256723716,0.11002445,0.183374083,0.087929815,0.088118856,0.404286343,163.6,5
naama,raise_arms_horizontally,1_1_1.xlsx,right,0,4,0.182505796,0.073176896,0.816729495,0.040415243,0.158923094,0.086602594,27,22.0151463,78.25,23.07054399,-0.264795486,0.086672276,0.38606023,0.059533679,-0.236880854,0.237961385,4.571610347,0.970304138,1.335163849,1.115685056,1.0695018,0.784297888,0.765884126,2.765839506,27.4922664,24.90331946,408,0.003763011,0.022116998,0.11002445,0.256723716,0.183374083,0.087547125,0.095558037,0.411610583,163.6,5
naama,raise_arms_horizontally,1_1_2.xlsx,left,0,4,0.238971899,0.015174464,0.847469061,0.030277672,0.242462854,0.021953899,29,5.291502622,82.25,6.184658438,-0.22125291,0.02052731,0.389157754,0.047587855,0.021321723,0.070005899,5.806602746,1.12329666,0.642429477,0.116547867,0.412374577,0.048871442,0.42073933,0.120049342,8.171710133,1.546447388,409,0.002455285,0.018229323,0.365853659,0.548780488,0.182926829,0.029698528,0.07839308,0.355549757,164,5
naama,raise_arms_horizontally,1_1_2.xlsx,right,0,4,0.179788794,0.031171669,0.739924673,0.023743168,0.294391414,0.109000957,17.25,1.707825128,82.75,4.787135539,-0.157967006,0.03152732,0.60143824,0.086077829,-0.094148554,0.266766272,12.10011015,3.644043728,0.949116896,0.054223718,0.451274197,0.062267252,1.170414242,0.859116593,9.091729793,0.958488254,409,0.003083855,0.018188866,0.146341463,0.548780488,0.182926829,0.02539793,0.069693531,0.357292118,164,5
naama,raise_arms_horizontally,2_1_1.xlsx,left,1,5,0.207683814,0.006717939,0.931795406,0.187507981,0.233618303,0.060763931,30.2,13.93556601,62.4,25.94802497,-0.467588647,0.402286053,0.748353041,0.322333813,0.606186023,1.704099968,9.345870464,6.324843305,0.779947249,0.187005384,0.55389987,0.076337997,1.0083669,0.835757471,10.22088146,3.766800703,422,0.005400816,0.023637242,0.106257379,0.141676505,0.212514758,0.193543355,0.196993179,0.298423038,141.1666667,6
naama,raise_arms_horizontally,2_1_1.xlsx,right,1,5,0.216803554,0.006317758,0.988997664,0.071033963,0.2169802,0.024762097,31.2,5.069516742,63.6,24.08941676,-0.446524638,0.279394183,0.724792137,0.377233458,-0.198863439,0.155129427,10.49394875,11.05296618,0.743233993,0.114262089,0.590893467,0.114025397,0.392356311,0.42459676,8.601549883,1.695796144,422,0.005465995,0.023442312,0.106257379,0.141676505,0.212514758,0.18738056,0.200005826,0.298170583,141.1666667,6
naama,raise_arms_horizontally,2_1_2.xlsx,left,1,13,0.172638767,0.01877884,0.949471393,0.091662132,0.15135683,0.010938402,28.07692308,11.5863536,42.38461538,11.5219968,-0.607112303,0.185169087,0.628357473,0.079977503,-0.143112749,0.249795494,6.981981785,1.571537868,1.09581512,1.040173043,0.604154933,0.557786283,2.535877871,7.712110833,12.32184095,19.45536079,750,0.004134155,0.016257398,0.319361277,0.279441118,0.299401198,0.111607939,0.137583986,0.303659835,100.2,15
naama,raise_arms_horizontally,2_1_2.xlsx,right,1,13,0.184193741,0.064724186,1.056984942,0.135361427,0.224844082,0.107994605,26.84615385,12.88310362,35.92307692,11.47796104,-0.762856444,0.388825886,1.470185737,0.525762363,-2.89623224,3.830630298,27.88455158,14.13933294,1.533946475,1.611935227,1.067045942,0.756219774,2.237916614,9.513012657,24.91581522,33.18426971,750,0.00523615,0.018673306,0.319361277,0.279441118,0.299401198,0.140519003,0.156060163,0.347453675,100.2,15
naama,raise_arms_horizontally,3_1_1.xlsx,left,0,5,0.228313699,0.111548612,1.023756739,0.079422786,0.280202342,0.071654986,25.6,9.736529156,60.6,11.39298029,-0.373371274,0.118735745,0.711683088,0.145959849,-0.776305137,0.499313383,9.535164609,3.126013732,1.012136481,0.282896305,0.97588951,0.417326983,0.406840329,0.639532888,18.62294973,11.36524486,463,0.005995084,0.024030242,0.032292788,0.096878364,0.193756728,0.136586438,0.167386437,0.383477682,154.8333333,6
