Unnamed: 0,Source,Exercise,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
335,YDS,bend_elbows,22.6 14.8.54.xlsx,right,3.732510511,9.805969169,-0.122804705,-2.183763018,-0.488103524,8.425628167,-0.456527591,0.458687976,-0.086904668,0.265009538,1.291669313,1.31925769,-0.386088612,-2.67601173,-1.006539521,1.381744586,-1.111394863,-2.628260886,-0.960150758,-1.958783629,-1.570233112,-3.103859034,-0.484586449,-1.414794628,-1.40742654,-2.297034736,-1.30722393,2.54631032,-2.330417548,-3.283516332,-0.641079695,0.850250369,-1.045889902,-1.507616968,-2.120470735,-2.510135081,0.033256748,0.601083963
336,YDS,bend_elbows,22.6 15.4.52.xlsx,left,-2.71599701,7.0861742,-0.744541365,-1.97171683,-0.503461724,5.494925479,-0.951159654,2.555785903,-0.75538907,36.97296529,87.99045381,2.52765092,-0.138158987,-3.904840247,-0.494333008,1.543689913,-1.50291899,-3.497763574,-1.286274541,-2.639016935,-2.931475828,-3.557661507,-1.328589727,-1.839578895,-2.800739196,-2.904514478,-2.683858829,2.406226219,-3.043090233,-3.229705291,-1.16105189,-0.937773512,-3.492415993,-1.113939369,-1.630338709,-1.96482344,7.120353075,-2.736850383
337,YDS,bend_elbows,22.6 15.4.52.xlsx,right,-1.33417397,7.485358802,-0.632701906,-1.843739498,-0.437369368,6.142205868,-0.890813543,3.86681931,1.705522028,4.848387459,0.070532441,2.209019384,-0.888779781,-3.289462855,-1.303915987,1.548808542,-1.499944384,-3.092177668,-1.40969047,-2.755991154,-2.354124049,-4.117911815,-0.854997541,-1.799006144,-2.696933042,-3.125753931,-2.278797174,2.406226219,-2.843426598,-2.997970951,-1.376909314,-0.692072504,-1.545759576,-1.232346599,-1.606147057,-1.278180877,0.214259546,-0.140679225
338,YDS,open_arms_and_forward,21.6 10.13.55.xlsx,left,4.228698958,2.082610229,-0.639937721,1.258714784,0.986632579,2.555863931,-0.43055374,-0.27357213,-0.505371372,-2.654453911,-0.504174798,-1.402494036,0.395622868,-0.293225094,0.418088644,0.223660098,-0.213695027,0.267043954,0.002081042,-0.38617961,-0.301107539,-0.856151846,-0.773021508,-0.257889651,-0.623736473,-0.909106907,-0.735933027,0.233601036,-0.700882268,-1.591049282,-1.149758907,-1.311463567,8.97458608,-1.131735631,-1.597049365,-2.191230506,-0.821194466,8.028883046
339,YDS,open_arms_and_forward,21.6 10.13.55.xlsx,right,4.228698958,2.146737736,0.714527199,1.172425997,0.575653966,2.583993348,0.637107635,-0.173593297,-0.377535413,-2.61345954,-0.414059111,-1.288441686,0.457353446,-0.291267344,0.448304182,0.245393776,-0.258266544,0.044112283,-0.131210069,-0.455585084,0.015926971,-0.906886374,-0.429116539,-0.340057242,-0.697766889,-0.991414221,-0.6711163,0.233601036,-0.543816568,-1.366022314,2.122347911,5.477415643,-4.160435215,-1.415636453,-1.0683518,-2.068626159,8.611114546,-3.402069087
340,YDS,open_arms_and_forward,21.6 10.42.22.xlsx,left,0.10189636,-0.255476335,-0.358441958,1.895782893,-1.889069399,-0.329541693,-0.475489231,-1.479983375,-1.989256391,0.820957779,7.36466203,-2.418823723,0.32905235,4.30875563,1.264465508,-0.960294283,0.024572749,2.573737291,0.393946812,3.013813862,0.308011473,1.43846618,-0.001199414,-0.215693641,-0.446623874,1.504515024,0.307854227,-0.07069505,0.462949312,-0.683141052,4.468424499,-1.816064858,-4.127173285,-1.591783159,-1.656805331,0.029387798,7.964296878,-3.402069087
341,YDS,open_arms_and_forward,21.6 10.42.22.xlsx,right,0.10189636,-0.042236056,-0.329182363,2.258804796,-1.683217088,-0.081110801,-0.436660804,-1.573296952,-2.107214872,0.86650708,7.374523305,-2.368334996,0.270198886,5.009978821,1.455560505,-1.200310662,0.36518224,3.06412341,0.578213903,3.446101804,0.402969103,1.775699914,-0.436295492,-0.155141566,-0.486450281,2.163812817,0.426802162,-0.07069505,0.787690029,-0.268050425,4.468424499,-1.816064858,-4.127173285,-1.571412593,-1.027963183,0.408868465,7.964296878,-3.402069087
342,YDS,open_arms_and_forward,21.6 10.5.25.xlsx,left,0.10189636,1.588454852,-1.645711548,1.959234259,-1.065228496,1.649376562,-1.495360686,0.159669478,-1.398841787,-0.144687409,-0.468865427,-0.06536058,-0.23758854,-0.774411175,-1.007328069,0.284735662,-0.351565878,-0.546237188,-0.720039142,-0.367875059,-1.009841293,-0.569764325,-1.1707991,-0.414058899,-0.709819066,-0.823153197,-0.919458521,0.254348496,-0.620383134,-0.27078025,0.314019688,-0.236754695,-0.42994428,-0.727021646,1.069440346,0.553239844,-0.06681598,-0.136082763
343,YDS,open_arms_and_forward,21.6 10.5.25.xlsx,right,0.10189636,1.397338705,-1.073445247,2.07323719,-1.80859928,1.565533374,-0.597390008,0.746211961,-0.256897628,-0.199346571,-0.623316759,-0.01410535,-0.472650132,-0.573397095,-0.910924529,0.323964672,-0.296017327,-0.593868902,-0.870128139,-0.515552369,-0.928846492,-0.449108252,-1.018886795,-0.43723471,-0.720723026,-0.88084675,-1.05981646,0.254348496,-0.560345615,-0.034435338,0.314019688,-0.236754695,-0.42994428,-0.758569367,1.210829352,0.856858882,-0.06681598,-0.136082763
344,YDS,open_arms_and_forward,21.6 10.52.40.xlsx,left,0.10189636,0.547278354,0.458569602,1.668439248,-0.042030136,0.128100794,-0.72556355,0.33296612,-0.262116981,0.51122253,0.004832864,-0.075311447,-0.306619678,-0.310215851,-0.900719018,0.044161379,-0.245886182,-0.546184378,-0.910299573,-0.285434693,-0.236962923,-0.070596735,1.456878624,-0.561297886,-0.57150175,-0.123364196,0.906081938,-0.305832935,0.534721916,0.770412597,0.543090139,0.375555329,-0.371112824,0.568253296,-0.257279633,0.895596304,-0.08189187,-0.544331054
345,YDS,open_arms_and_forward,21.6 10.52.40.xlsx,right,-0.356637261,0.025032638,-0.185428405,2.117301879,-0.857268102,0.016478375,-0.850538073,-0.066949209,-0.380683987,1.237733886,-0.649933211,0.157255924,-0.543201366,-0.10312915,-0.495648688,0.198296421,-0.301450815,-0.416798165,-0.485275641,1.483647208,3.576720514,2.25573904,2.992359455,2.238140943,4.431570299,2.328458548,2.99603594,-0.990499129,1.073580472,0.487127128,-1.08966246,2.057968096,1.143266523,-0.042392448,-0.698608326,0.116745906,-0.364203413,-0.136082763
346,YDS,open_arms_and_forward,21.6 11.13.1.xlsx,left,1.018963604,1.650450899,0.123936795,2.124230885,-1.601853769,1.777628481,0.484370067,0.085745735,-1.348527134,0.930276102,4.224244771,-0.232963519,-0.121327245,0.203575057,-0.758854285,0.174929447,-0.238734375,-0.367839468,-0.662546839,-0.177492064,-0.289142597,-0.04404851,-0.269042209,-0.71579449,-0.26508496,-0.385675939,-0.328277534,-0.084526691,-0.095988547,-0.581736254,0.444423307,-2.105923414,3.434663391,-0.281409096,-0.699346776,-1.896736803,-0.589773847,2.72165527
347,YDS,open_arms_and_forward,21.6 11.13.1.xlsx,right,1.936030848,4.036242131,3.792337581,1.53781906,-1.02477394,4.767946857,3.153747685,-1.285152829,-0.913957759,0.70953718,4.460663224,0.474971275,0.210827851,-0.541138813,1.044740287,0.093161906,0.025309172,-0.076194091,0.399927599,0.027428339,2.79135589,-0.359381565,1.634593527,0.955045031,2.335718168,0.256551547,2.806617426,-0.146769072,0.098914162,-1.234546041,-0.599153557,2.344156175,-3.093643322,-1.204723528,-1.572401326,-2.140228592,1.825724604,-2.585572506
348,YDS,open_arms_and_forward,21.6 11.4.46.xlsx,left,-0.356637261,1.916705314,-1.604587979,2.295350066,-2.142391829,1.485460726,-1.530114965,1.117799955,-0.780706232,0.858535952,-0.995015884,0.300020889,-0.68909922,-0.865246584,-1.048056518,0.280894696,-0.353754836,-1.054486678,-0.967528491,-0.794953267,-1.157332922,-0.374890637,-1.182579123,-0.465503205,-0.788519814,-0.916192483,-1.154915044,-0.119105791,-0.221540501,0.204744165,-0.072769091,-0.044355362,-0.05603111,-0.696524563,0.517374305,1.075079038,-0.15603221,-0.136082763
349,YDS,open_arms_and_forward,21.6 11.4.46.xlsx,right,0.10189636,2.718863817,-1.412874142,1.537407264,1.725460009,2.764617275,-1.359186679,0.706220428,0.705108295,0.584101412,-0.394963097,0.699494001,-0.580517508,-1.433854981,-0.750203506,0.325930447,-0.359895424,-1.094004895,-0.79712345,-1.073164982,-1.17013956,-0.592366891,-0.939135241,-0.241315723,-0.410401413,-0.921340533,-1.078039287,-0.146769072,-0.45662687,-0.544169706,-0.064532774,-0.028731602,-0.025667545,-1.101535125,0.031785204,0.1402782,-0.162640819,-0.136082763
350,YDS,open_arms_and_forward,21.6 12.1.52.xlsx,left,0.10189636,2.137846059,-0.63105196,1.221378909,0.030979297,2.324656667,-0.571411705,0.133008456,-0.621950362,-0.153797269,0.20984053,0.391608559,-0.300717336,-0.297870427,-0.054795869,0.245186068,-0.359887897,-0.388165217,-0.398636151,-0.672019886,-0.76653119,-0.849740975,-0.960787802,-0.167131334,-0.552137461,-0.914821977,-0.970856471,0.344254158,-1.020397812,-0.842219767,-0.993932721,-0.27689083,-0.507945744,-0.087517397,-0.517357619,-0.190073969,-0.046164074,-0.136082763
351,YDS,open_arms_and_forward,21.6 12.1.52.xlsx,right,-0.356637261,0.852787813,-0.715681327,1.430310479,-1.47537543,0.42209259,-0.554643873,0.307971412,-1.486714095,0.274366163,-0.050026624,-0.173568363,-0.005105146,0.691120265,-0.288354074,0.08763781,-0.172370425,0.068005421,-0.314826475,-0.41960138,-1.040370828,-0.567826932,-0.876339845,-0.365087246,-0.725147923,-0.769048483,-0.934480151,0.344254158,-0.648255331,-0.160627541,-0.355069666,-0.27689083,-0.507945744,-0.10363204,-0.233427576,0.65183232,-0.046164074,-0.136082763
352,YDS,open_arms_and_forward,21.6 12.10.25.xlsx,left,0.10189636,2.588709948,-0.864028927,1.488173812,1.815670026,3.031735508,-1.258037929,0.946169626,0.379376843,-0.454422658,-0.303969461,0.593996702,-0.489337133,-0.915714614,-0.458723931,0.283049165,-0.345552627,-0.667420184,-0.56248033,-1.110820922,-0.762592381,-1.10230095,-0.900871078,-0.476365995,-0.782970988,-1.182657408,-0.88515036,0.240516856,-1.478031748,-0.684702931,-0.169867344,-0.228544476,-0.413988357,-1.07110702,0.157714044,0.277588883,-0.070946361,-0.136082763
353,YDS,open_arms_and_forward,21.6 12.10.25.xlsx,right,0.10189636,2.065638656,-0.87944413,1.504846748,1.743014635,2.036218271,-1.1221581,1.346084956,1.64622246,0.083059098,-0.032473831,0.529758687,-0.482583682,-0.846003476,-0.384199525,0.307244802,-0.379312636,-0.78953025,-0.569735268,-1.050814608,-0.710698978,-1.014817383,-0.906646488,-0.488798142,-0.781721983,-1.1853303,-1.034776908,0.240516856,-1.339436982,-0.32434605,-0.169867344,-0.228544476,-0.413988357,-0.858817501,0.419991093,0.710744455,-0.070946361,-0.136082763
354,YDS,open_arms_and_forward,21.6 12.21.32.xlsx,left,-0.356637261,1.625194101,-1.986768128,1.994488027,-2.158866243,1.619094933,-1.741372446,0.667895209,-0.62706946,1.227485293,-1.30809944,0.485398321,-0.771308679,-1.197327579,-0.983378014,0.281476458,-0.375238361,-1.053192324,-0.902593124,-0.590955805,-1.078601231,-0.411018112,-1.290350774,-0.482782468,-0.768503625,-0.858282214,-0.994859095,0.192106115,-1.303369864,-0.267859634,-0.157571678,-0.205220393,-0.368659811,-1.082011465,1.725515334,0.059819029,-0.082511427,-0.136082763
355,YDS,open_arms_and_forward,21.6 12.21.32.xlsx,right,-0.356637261,2.40877482,-1.716494578,2.363988369,-1.907508216,2.791419432,-1.758875028,0.832860283,-1.409375723,0.530580983,-1.307044307,0.445059184,-0.755209577,-1.178869496,-0.979906468,0.303947318,-0.376255562,-0.961950201,-0.846257194,-0.826518272,-1.367193541,-0.578964267,-1.445685101,-0.510355786,-0.763512426,-0.916545048,-1.149153601,0.157527014,-1.100129597,-0.357905218,-0.315789223,-0.189959623,-0.339001691,-1.303018814,1.198369936,-0.021001417,-0.089946113,-0.136082763
356,YDS,open_arms_and_forward,21.6 12.29.37.xlsx,left,-1.732238127,1.860297412,-1.403664758,1.745780177,-0.999498414,2.077106288,-1.362592664,1.972618973,-0.733814522,8.850388614,1.519857803,1.204921123,-0.660963935,-1.412343559,-0.987452379,0.310332882,-0.380168233,-1.011657126,-0.78974282,-1.149829026,-1.097622221,-0.936761145,-1.136951341,-0.47678026,-0.789940652,-1.110121241,-1.132814167,0.219769396,-1.227473229,-0.550978436,-0.164629954,-1.852915552,-2.276841648,-0.266104901,-0.488246054,0.340005339,0.789825044,-1.769075925
357,YDS,open_arms_and_forward,21.6 12.29.37.xlsx,right,-1.732238127,2.133041645,-1.591507248,2.359161072,-1.771965368,2.746137523,-1.292388458,4.156156674,0.975131207,7.309000258,3.931385963,1.046056034,-0.603585325,-1.625810508,-0.959251718,0.330194739,-0.394512323,-1.301340719,-0.905707956,-1.452229425,-1.292099367,-1.313953881,-1.402988171,-0.463056961,-0.785182225,-1.347274843,-1.205633022,-0.105274151,-1.227494178,-0.518182394,-0.07582977,-1.810803499,-2.094971634,0.591973772,-0.065803916,-0.413261567,0.650052951,-1.769075925
358,YDS,open_arms_and_forward,21.6 12.59.26.xlsx,left,0.10189636,4.71934969,0.838267032,1.611067796,-0.872012177,5.794116532,0.674030263,-1.373339287,-0.008628121,3.97296943,4.316766846,1.212036536,-0.473906853,-1.29237934,-0.278610736,0.102793268,0.054490119,-0.576508054,-0.109970456,-0.074453625,1.636887121,-0.519658328,0.963655902,0.066865589,-0.189450499,0.265717851,2.687421741,0.247432676,-1.058391328,-2.053708646,-1.150379094,-1.8566327,-3.227554221,-1.103060751,-1.616013541,-1.991133362,2.110720895,-2.585572506
359,YDS,open_arms_and_forward,21.6 12.59.26.xlsx,right,-0.356637261,3.801408138,1.106456838,1.456555656,2.188087363,4.300853476,0.868697206,-1.071736475,-0.594121219,4.978470256,4.30226276,1.051297696,-0.275463298,-0.797675315,0.54425266,-0.034032077,0.116639453,-0.7196631,-0.219123696,-0.371064079,-0.060727614,-0.214101525,0.615273193,-0.645257694,0.481874438,-0.26336691,0.036988598,0.199021935,-0.822850678,-1.725782553,-0.48969598,-1.850828315,-3.212513727,-1.067999171,-1.223950066,-1.83463598,2.076025694,-2.585572506
360,YDS,open_arms_and_forward,21.6 13.7.26.xlsx,left,-0.356637261,2.729019736,-0.972205404,1.925610986,-1.467315732,3.439417283,-0.281921016,0.352961887,-0.628778421,0.96102188,-0.154982067,0.711441076,-0.631318097,-0.560089526,-0.988661901,0.25054738,-0.351503515,-0.514199548,-0.74411722,-0.767785885,-1.101176934,-0.728545178,-0.992043598,-0.423410478,-0.751031394,-1.000404248,-1.128527513,0.039958072,-1.078129595,-0.551573047,2.955448658,0.153079398,-0.712734317,-1.576593606,-0.261625893,0.438090815,0.011971038,-0.544331054
361,YDS,open_arms_and_forward,21.6 13.7.26.xlsx,right,0.560429982,2.255020845,0.896314091,1.662386637,-0.668223176,2.228032902,0.791743235,-0.978756161,-0.733973959,-0.250361788,0.193839183,0.236372554,-0.587364995,-0.571795363,-0.412046004,-0.050155948,-0.172114232,-0.442480054,-0.758195639,1.016405571,1.951318823,1.216460513,2.335387486,2.199515964,2.873581879,1.502090497,2.29014367,-1.267131935,0.945110841,0.282540621,0.152390874,-1.992203001,2.375090803,0.759807738,-0.147020093,-1.444044538,-0.503810292,0.272165527
362,YDS,open_arms_and_forward,21.6 14.16.1.xlsx,left,-0.356637261,3.679395153,0.635175707,1.280399358,0.548753251,4.487465551,0.344458724,0.532923785,0.583338193,2.447067836,3.188316701,0.866400201,-0.1873987,-1.40302028,-0.372851177,0.31414919,-0.364009857,-1.223549551,-0.6538098,-1.439068987,-0.683476651,-1.290236614,-0.620849294,-0.430263351,-0.740440589,-1.349064274,-1.006834662,0.240516856,-1.084815878,-0.784510226,0.156846057,-1.313114358,-4.161148145,-0.654290463,-0.897911763,-0.555961356,8.625983918,-3.402069087
