,Unnamed: 0,Unnamed: 0.1,Source,Exercise,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
674,674,27,val1,raise_arms_horizontally,21.6 14.54.25.xlsx,right,-0.5331603739385486,1.16037456295608,3.3920504734225485,-0.6584633829557756,0.3854604253560929,0.3274701917256556,-0.4258937185196202,-0.6192078963336276,1.3018895799801973,0.90103904196308,-0.18850484822645305,0.9304055357913654,-0.6270263517401629,-0.7650034808301246,-0.5305911616874439,0.35745543132424085,-0.23404707322247095,-0.6775021511524693,-0.6410104324368167,-0.210240940874274,0.6622244690374228,-0.43535364817039734,0.19934985637735886,-0.297758428363598,-0.04967759203624269,-0.3026655295045408,0.008641715726519526,-0.025152305339713212,-0.1559011571981259,-0.5710178945308582,-1.4123186170438442,-2.3358766656302135,0.1014186545067732,-0.2996685292635166,-1.1596922334576616,-0.2641341277639566,-0.26588514205868197,0.081813448945636
675,675,28,val1,raise_arms_horizontally,21.6 14.7.23.xlsx,left,0.1130946247748435,-1.1692278637401312,-0.5550038680694284,0.1516647135623379,-0.8275911609604406,-1.2960359544297704,-0.5416508067989313,0.5171900188051011,-0.5820928151025145,0.9408017340027645,-1.0986049570695466,0.4099562017775558,-0.8741491698743901,-0.1953366621280306,-0.6142667160827998,0.28427273742032116,-0.23650670303022542,-0.3434209607542244,-0.5848481036313506,-0.22451329427749445,-0.40890642749524364,0.04762815427100455,-0.3921159665187094,-0.1990786195416692,-0.1865586552559691,-0.18243258946763352,-0.3221913587281307,0.032338678293916984,-0.4071244798382241,0.17983873870030911,0.511172337770387,0.2608894208005816,0.08431494583255615,-0.5570777513472195,1.1386501661310213,0.6151848160010928,-0.2632731484558725,0.08181344894563677
676,676,29,val1,raise_arms_horizontally,21.6 14.7.23.xlsx,right,0.1130946247748435,-0.6057121154751408,-0.5973964409233922,0.24375013494814074,-0.7984028418277748,-0.595238764013074,-0.5651611174900371,0.8687827439308955,-0.6923296539902707,0.5232934675860749,-0.9515654718247153,0.2377762507998844,-0.8039703686916527,-0.21476304780095068,-0.5690081769025765,0.31629625751450635,-0.25507533246742026,-0.38288011844005,-0.5781621070838294,-0.3672360229777807,-0.46375713261728985,0.07742985334166859,-0.3068464377004148,-0.2005658473244904,-0.18744186446548838,-0.2526320323323377,-0.3040848819503209,0.032338678293916984,-0.34508101019492043,0.18923241112800324,0.511172337770387,0.2608894208005816,0.08431494583255615,-0.4858159000781319,1.2565185170901243,0.4861089290114958,-0.2632731484558725,0.08181344894563677
677,677,30,val1,raise_arms_horizontally,21.6 15.13.10.xlsx,left,-0.5331603739385486,-0.11899519178786956,0.5625211041352771,-3.206747135621364,-0.4451860993299416,-0.006916418297002933,0.7783747663163577,-1.2721658144243886,0.11027508553472878,0.13759535480113302,1.7070784148492146,1.889207884203302,-0.31482252577319847,-1.2812963630360308,-0.4780506556459659,0.4164489207589224,-0.1873293021157266,-0.8684280367015205,-0.3809457308239558,-1.2932160682741927,-0.36952986446160463,-1.4158455656785294,-0.39853458512623563,-0.10266164585697403,-0.12471936817161752,-0.6488773465409073,-0.30751725446995015,0.0035931864771018875,-0.7420199786050005,-2.098419292561226,-1.7388178170413953,0.2654558701414262,1.0004135876287907,-1.2760920415998567,-2.2152759336576606,-2.957174694714778,-0.37558887337667823,0.9544902376990867
678,678,31,val1,raise_arms_horizontally,21.6 15.13.10.xlsx,right,0.7593496234882356,-0.5238692500565677,-0.4639780286391291,0.3869849005770884,1.3893586853094655,-0.8266428558242008,-0.35176101091024853,0.8931989053979649,1.9717781145293436,-1.3910592502800787,0.2700768125833282,-0.9196687841888928,0.7643194741466138,0.14665862157112847,0.3391857111242103,0.0659782686869928,-0.15937361274747316,-0.034159318911933884,0.014902677762773958,-0.4106091459628601,0.0356944091579634,-0.44213317111370243,-0.03966252916780494,-0.20310590156479946,-0.18863992974107494,-0.43213611063723584,-0.19768172781911036,0.0035931864771018875,0.6390345712429022,0.796318405711408,0.51493360516392,0.2654558701414262,0.08857586974788759,2.4509535274769427,0.6294373466586504,0.14966997246132832,-0.26392614685657484,0.081813448945636
679,679,32,val1,raise_arms_horizontally,21.6 15.2.35.xlsx,left,0.7593496234882356,0.16851924914674485,-0.3891271618474907,-0.5160262770524182,0.8657892403472376,0.37519036471709405,-0.39172985493687557,-0.044381694937487025,0.7072439172872445,0.24186196948297298,0.9972772770108792,0.7877213825834619,-0.31055311231838184,-0.48238274233533024,-0.20656671247476768,0.23319353387617575,-0.17394910017499643,-0.6085608509445352,-0.4210823700513041,-0.5179922514486058,-0.11499798615876862,-0.13765608679636496,0.06709864996434141,-0.20106186271711618,-0.18726981282420863,-0.2239846045442996,-0.14916571894510144,-0.025152305339713212,-0.7663215873567752,-0.24485818596539716,0.5262703829416127,0.279219534351858,0.1014186545067732,-0.7575326611002512,0.3085177709691163,0.44853449911513876,-0.26588514205868197,0.081813448945636
680,680,33,val1,raise_arms_horizontally,21.6 15.2.35.xlsx,right,0.1130946247748435,0.24613035654730406,-0.59268702612784,0.46054303875553143,-0.749096564139228,0.4742644295111129,-0.5325338940165508,0.2388457780805138,-0.2679454974580571,0.9825525606444334,-0.6788442570641443,0.3903284039302277,-0.7286712706497719,-0.3040679522899985,-0.6723835078959359,0.28930022142249007,-0.2562586132455052,-0.4684268168769596,-0.6198035977990263,-0.08027174663644249,-0.3442844852294212,0.6030176552833858,-0.46032078251175007,-0.1963315980722024,-0.18517071738235158,0.005729741727016198,-0.25714383545686703,-0.025152305339713212,-0.3750113554191897,0.23162186226378864,0.5262703829416127,0.279219534351858,0.1014186545067732,-0.42504141988594407,0.6064058791994326,1.0865912477132154,-0.26588514205868197,0.081813448945636
681,681,34,val1,raise_arms_horizontally,21.6 15.21.13.xlsx,left,0.1130946247748435,-0.550140439438252,-0.649267657686401,0.6833546847298063,-0.7372881765488286,-0.606850275776333,-0.555821591355353,0.5464894125655839,-1.0148392666279376,-0.2421383541778559,-1.003861287643791,-0.42517812803957256,-0.669636631525746,-0.05987238542599615,-0.5260341629604828,0.22091151477954896,-0.19580506051524274,-0.22376211156233528,-0.589244411018093,-0.09988912106610044,-0.46297928248424225,-0.059908389648798875,-0.4246860640278422,-0.20396512696308117,-0.1806433211574691,-0.21521285703796056,-0.25436205757469593,-0.025152305339713212,-0.26638513918589796,0.5895369176802888,0.5262703829416127,-0.1566298323118208,0.5589428615420857,0.49018047917506974,1.7180202257889468,1.03119632821978,-0.32770232399183863,0.5181518433223621
682,682,35,val1,raise_arms_horizontally,21.6 15.21.13.xlsx,right,0.1130946247748435,-0.7250924766822718,-0.5566825237464995,0.41777248696534186,-0.7974642272896499,-1.0007405876994977,-0.5632853057780502,0.7515851688889641,-1.5440256074601055,-0.5065602562417593,-1.340180215843096,-0.4631644421391444,-0.7846537328585442,-0.12604395355567316,-0.5175162313359162,0.14106954549682335,-0.16999211286026567,-0.09002727989065425,-0.5119413572080788,-0.27657370366548356,-0.5884447475152563,-0.30140349100733826,-0.39313916265555215,-0.2233895114332444,-0.18307703993136312,-0.3355636595510636,-0.34520555740987907,-0.025152305339713212,-0.45787701860009905,0.3526845864922491,0.5262703829416127,-0.1566298323118208,0.5589428615420857,0.36486298417845825,1.4570376624235584,0.7162488970048438,-0.32770232399183863,0.5181518433223621
683,683,36,val1,raise_arms_horizontally,21.6 15.36.34.xlsx,left,0.1130946247748435,0.39290042745490844,0.6894801404529952,-0.35093832440516803,-0.5363152534916594,0.14851294314425564,-0.137996722912006,1.2789742565776558,0.2765367552323349,0.21712073888050257,-0.49848046286862707,0.40682712893670403,-0.23101187011861263,-0.6272048086524301,-0.5001264235740471,0.3215824067484654,-0.2572843397724362,-0.5280693768364932,-0.42640573814179095,-0.711778653258889,-0.32622272836128907,-0.6070875416233402,-0.36579839724488067,-0.22047482097233287,-0.16680223524329005,-0.49096059062477915,-0.2442369012658614,-0.05389779715652831,0.26774450576429226,0.052363792008196866,-2.380852886056186,0.2884492856459125,0.11003087487449723,0.039254362750153586,-0.6403330542521105,0.28300989988059666,-0.26719113886008666,0.081813448945636
