,Unnamed: 0,Unnamed: 0.1,Source,Exercise,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
0,0,0,maya,raise_arms_horizontally,0812202001a.xlsx,left,-0.23904572186687878,0.152821310443381,-0.6346442631183371,-0.1477403143133458,-0.6878657280390442,0.3989601163299632,-0.6420484717100595,0.8451977556935398,-0.7966432587925497,1.9013944904629803,1.399752128041256,0.7064770316100675,-0.4121659710459358,-0.48279594079980537,-0.5351040668067817,0.3298051955879022,-0.36779178549294805,-0.5091872851541064,-0.47906413724264685,-0.6243696448063275,-0.5171407299980977,-0.6271659348687373,-0.5911798839492869,-0.2941762946491818,-0.44274078810845136,-0.574756324337337,-0.6080116640902534,0.3768884942559446,-0.5045463825760049,-0.5751919059814218,-0.6011443268381409,-0.4407907041274302,-0.5793967248529545,0.27092530351320926,1.5742047246674156,-0.5677836551138957,0.2239102349957904,-0.2790343518126848
1,1,1,maya,raise_arms_horizontally,0812202001a.xlsx,right,-0.23904572186687878,-0.8114464566574237,-0.7608356091560892,0.15293511753297181,-0.6766738678551208,-0.9409573260221029,-0.608028220210405,0.5143988583573043,-0.9025014411766021,0.2833990831668578,1.2393684877545283,0.28034141992358563,-0.32869801092749307,-0.14654732829007108,-0.5071366155542351,0.297177508829014,-0.3498488575528687,-0.39170425699657074,-0.4459235391007288,-0.40451493746671313,-0.4660933507002523,-0.44685951038724125,-0.5989038511432785,-0.2955878119465394,-0.44499920271266746,-0.4595452927389183,-0.5944305021562859,0.3768884942559446,-0.3660119153268896,0.02586601887639518,-0.6011443268381409,-0.4407907041274302,-0.5793967248529545,0.6013886614810549,2.067895668489312,-0.20896680231948686,0.2239102349957904,-0.2790343518126848
2,2,2,maya,raise_arms_horizontally,0812202001b.xlsx,left,-0.23904572186687878,0.029774162759268565,-0.7071636348362034,-0.1046967248008585,-0.39832454251796195,0.3283927988747311,-0.5795602439675616,0.018200512352951604,1.8450775509253015,1.9717421168671596,1.255392144457534,0.7106533518728834,-0.41843100303927583,-0.11979407762451408,-0.01081244255843018,0.35901453045252574,-0.3343854570336782,-0.0018903507615077291,0.4384231269660528,-0.16156298351035528,-0.08666291973496441,-0.24799498982066284,-0.6005174904453991,-0.08294075876167575,-0.24716285470963723,-0.21650504731195244,-0.4378939001744183,0.23354911097798617,-0.14784541383679992,-0.1352875291751135,-0.2115733239683429,-0.5548371590314688,-0.2665122239905121,-0.0365948277757204,0.7900016768773208,-0.13397823037440054,-0.059535429562262765,0.21259760138109354
3,3,3,maya,raise_arms_horizontally,0812202001b.xlsx,right,-0.23904572186687878,-0.871870447004708,-0.7241071004240422,0.41066718815081504,-0.6262498252021363,-0.9958895124906542,-0.5860994002383202,0.06330945289880172,-1.1939998569881611,0.3939453532305684,-0.5497225242360637,0.3197436996177966,-0.3996794583143814,-0.05503140081059832,-0.5236512825214282,0.31381478065290946,-0.3507259175411377,-0.39066204972703167,-0.47129558558840234,-0.17498559635872066,-0.47766464534207115,-0.2717080046530799,-0.48612659589287344,-0.28146921090164706,-0.4253225970231037,-0.402321898275841,-0.5144542684307323,0.23354911097798617,-0.042168617231559465,0.5213098883819295,-0.2115733239683429,-0.5548371590314688,-0.2665122239905121,0.3926469515498503,1.1290904564674893,0.27869727524391735,-0.059535429562262765,0.21259760138109354
4,4,4,maya,raise_arms_horizontally,0812202002a.xlsx,left,-0.23904572186687878,0.3132200364122835,-0.5446617932366615,0.6612991568962714,0.03738304154512032,0.5936719512430052,-0.2689706617290395,1.1609603395144918,0.5707615837596951,0.062306543039437605,-0.4454561580061404,0.24729424738839553,-0.34298044452067367,-0.7914991330776961,-0.4047167082424353,0.2845525476771783,-0.3459742900981432,-0.45369498550700066,-0.48092228563382233,-0.5111399913516212,-0.3267855442847728,-0.594925675708057,-0.6702142350484985,-0.2669528979707897,-0.407279686521936,-0.5159030989054918,-0.560042362938,-0.005349861151944531,-0.798147764934647,0.16908738874379123,-0.6389771347677351,-0.643797225706625,-0.36637294618228233,-1.4636730437990353,-1.4961452488064066,1.267420119317678,0.02026966045893684,-0.2790343518126857
5,5,5,maya,raise_arms_horizontally,0812202002a.xlsx,right,-0.23904572186687878,-0.2764124984324548,-0.7059861676980166,-0.13744911167244164,2.023410189150429,-0.2831583985860006,-0.5283656040402523,1.1609603395144918,3.4653966334618227,1.1979182264211878,0.7087739485636247,0.5560998118593166,-0.27986664924064714,-0.46120608028961196,-0.410809808954154,0.3182161230533081,-0.3627827313269823,-0.29698022329615237,-0.4659752280128307,-0.5283807622236124,-0.26247964613332453,-0.27718128587684776,-0.6462785720866865,-0.22272021383805077,-0.38557384197729067,-0.36881095811180925,-0.584239686187038,-0.005349861151944531,-0.6238023244022202,0.17657106229645805,-0.6389771347677351,-0.643797225706625,-0.36637294618228233,-1.452934698576739,-1.3722309009283231,1.2807185543480029,0.02026966045893684,-0.2790343518126857
6,6,6,maya,raise_arms_horizontally,1212202001a.xlsx,left,-0.23904572186687878,1.77522078236939,0.7028227550781121,0.5542164612016565,-0.1161632804718361,2.8027131668520187,1.4065551010249489,-0.6885062228653693,0.5558504712276099,-0.9728085311934855,1.9718270996436247,-1.2827940345016122,1.6370159156305066,1.6499633476246864,1.3613322292677421,-0.8778736187113435,1.4260665435750572,1.8639920209252832,1.8695283628270876,0.19461233434145905,-0.10853035479910214,0.22633511012300445,0.15603659575167078,-0.21477381866271028,-0.28848195946619715,0.45386894838838576,0.04114666442913999,-1.1930190368836,1.303476158223381,1.5150600830088357,-0.17150170519750316,0.19032788079406152,0.9426112306375166,1.6899880535197882,0.592022655819183,-0.9039182680805559,-0.6200056594812615,-0.27903435181268527
7,7,7,maya,raise_arms_horizontally,1212202001a.xlsx,right,-0.23904572186687878,1.4012309160608467,1.4114363781294168,0.6084598062900427,0.25351052605999763,1.340026385870407,2.1840275260699697,-0.7035425363806527,-0.19210939211372474,-0.5808717555130586,0.4974527381592556,-0.11513153433674977,0.1723012016276712,1.0857866552874509,0.9842909813506483,0.2079565572015338,-0.1662173844254039,1.0165017906789864,0.9149005511517694,0.1737562381052615,-0.20221971038282843,0.571651880746212,0.2563753202978587,-0.39003935481488283,-0.30879737519447104,0.6493241824512876,0.18481935371990985,-1.1930190368836,1.5207487516421199,1.8784772011559456,-0.17150170519750316,0.19032788079406152,0.9426112306375166,1.9707879039373197,0.9963242849456703,-0.9118960528340473,-0.6200056594812615,-0.27903435181268527
8,8,8,maya,raise_arms_horizontally,1212202001b.xlsx,left,0.16298571945468998,-0.10972993246918634,1.1708466184457182,0.6285134816963303,-0.5950434427039618,-0.4924314661749071,0.5908130686583699,-0.502431843113737,0.2631759040037435,0.05853792019635643,0.36054543296048785,0.06454618129504827,0.08366285503711085,0.23568242974470505,0.4732484065883014,0.39071043631969177,-0.0626676119983509,-0.11174810262393405,0.14340270076864922,0.25695270472628823,-0.04339754089708409,1.0664937575668934,1.1272337470658802,-0.516931328139842,-0.14195835634495493,0.8242208216148588,0.8782529523112639,-0.6333128736077623,0.8335727257159979,0.9163633169711816,-0.2879809548065831,-0.06690515246182716,0.48356791820748035,1.6630703906978184,0.6786839795153383,-1.1417845582210524,-0.46727522857862114,0.21259760138109354
9,9,9,maya,raise_arms_horizontally,1212202001b.xlsx,right,0.16298571945468998,-0.16415812775099956,0.5903772294022047,0.5766856960577595,-0.4320211069214767,-0.4732062501318291,-0.56155708998059,-0.33139377687738814,-0.07773513784041379,-0.0030162529073004068,0.27660887477456036,0.06662428329970888,0.05361381271472338,0.03050869203425126,0.03960083177383004,0.3363812201421401,-0.24278340859451167,-0.21805266101702356,-0.03663129102711371,0.08036749079872718,-0.24493113941516226,1.2681564531368472,0.9683459439218667,-0.5267065298583308,-0.3138830813066333,1.0237795547373119,0.7694852040899917,-0.6333128736077623,0.8461475202726172,0.6307406723513523,-0.12187740950606071,-0.3138898576995536,0.48356791820748035,1.4853444709157413,0.3975148601630449,-1.1641333230777395,-0.46727522857862114,0.21259760138109354
