,Source,Exercise,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
533,YDS,raise_arms_horizontally,21.6 15.21.13.xlsx,right,8,15.889990374083938,0.5854629181488534,115.659900806651,2.531709724864239,15.245044143365567,0.45577034743280953,41.125,1.642080561796091,39.5,2.7255405754769866,-76.45495045863014,6.098834634772126,53.15510968774166,7.814340392389903,-17.18966978472984,17.707061782102937,519.4093811605237,85.43861751989164,72.87081146573416,4.0458256023308925,51.30663559934984,8.501531361430178,-2.011883413610996,6.819362067603605,468.4915213314435,61.61648011047968,426.0,0.5682070288864083,2.683232222393956,0.3508771929824561,0.2807017543859649,0.3157894736842105,17.568471755953855,32.444251708759744,38.27827044204668,95.0,9.0
534,YDS,raise_arms_horizontally,21.6 15.36.34.xlsx,left,8,20.465110628029088,4.468675726929304,99.95579189340964,6.585677243666168,18.882485211136615,1.9147410209318885,45.625,9.117291264405234,46.0,7.289914755527472,-55.085385694411656,16.700489969843513,37.16239838515592,8.190460564466125,-5.112705965067677,4.4127815468517095,337.0584404198352,109.36115355476066,54.6337565094358,14.610663581980319,42.30764106383893,9.227543153442516,-1.4415717821713923,12.728583440124359,372.3923122429764,130.6383087478656,425.0,0.7081511186388671,2.5131081549796415,0.035169988276670575,0.31652989449003516,0.2813599062133646,16.06142827311952,21.133510479172894,32.32741890640302,106.625,8.0
535,YDS,raise_arms_horizontally,21.6 15.36.34.xlsx,right,8,19.520178728432267,2.428215073640923,102.2440009849025,4.888340738137672,18.5859528673662,1.6904905836801578,44.0,8.535639569308374,48.875,8.442029207652455,-53.8167436286115,16.911313127722458,39.577164726929894,8.472061251625748,-2.1064988862937946,2.646121289040709,318.3608944365359,88.47014209772789,59.09254951517078,16.99215814505987,44.16843323768778,10.28691676690172,1.8297738073777674,2.469436593959486,410.23637508196936,140.7519046496695,425.0,0.7164528339085443,2.5544031624245576,0.035169988276670575,0.31652989449003516,0.2813599062133646,14.635568906740833,21.879577981026515,33.84914436089845,106.625,8.0
536,YDS,raise_arms_horizontally,21.6 15.44.14.xlsx,left,7,18.196360064620347,1.832474119727121,88.97241130780633,26.187485607046657,17.802234596426548,1.803522976037838,42.57142857142857,14.397420403867988,41.857142857142854,11.553189623484524,-58.162206309227194,36.7583260036887,40.729922895683735,25.611664364615574,-4.079281152228449,11.58903382073208,411.7159164877686,321.57706455125816,60.0120407773319,38.830148373022304,45.744735804826064,32.1487827567124,3.9904499523427246,37.67541482404053,446.05951852296727,311.5767423242761,425.0,0.5972710710480459,1.8369583372182292,0.10550996483001172,0.24618991793669404,0.2813599062133646,11.685673952671966,12.72151851936913,16.030544780431565,106.625,8.0
537,YDS,raise_arms_horizontally,21.6 15.44.14.xlsx,right,7,16.916466769737497,1.6782912976320337,91.22126387049137,25.65921734305905,16.86491017972272,1.4349308117676396,37.714285714285715,12.188988004400882,39.857142857142854,9.65105471660259,-61.089464393976826,32.286028514852624,38.60718815671151,21.492134223994412,-3.7591088969824518,5.840052344509958,418.2335798441106,281.62412660753984,71.91540037357808,48.14234903561095,46.154423093711365,32.38785518264224,8.718310984580272,42.101902550505926,474.3440502959781,350.54879355465005,425.0,0.6110173193238871,1.9481541968677132,0.38686987104337633,0.24618991793669404,0.2813599062133646,13.928990786195296,15.300668075984644,17.206022456802987,106.625,8.0
538,YDS,raise_arms_horizontally,21.6 15.55.3.xlsx,left,8,16.761502112737343,1.8648349416926129,109.94771132351602,1.3710599930271556,16.875649819488704,1.3938011291251362,39.375,12.523549245892145,48.75,16.04235465438733,-70.22402399844785,48.883672217301466,44.394707226626174,22.233215873914013,-49.81792885865691,122.07359728780048,509.33194838951835,353.83410592197856,81.0113929835157,37.1152717749735,60.15316681479596,20.645948128719528,19.38740632096075,50.36762538236909,613.5418050362275,250.08893846715657,424.0,0.6673720698310878,2.4122687521700885,0.35252643948296125,0.3172737955346651,0.282021151586369,10.827127905897848,29.103654991957722,29.82193138988496,106.375,8.0
539,YDS,raise_arms_horizontally,21.6 15.55.3.xlsx,right,8,16.87345636559,2.367871458865115,115.52575846999903,2.400811018716538,16.082952459426533,2.4658741267248785,37.75,12.23285972873298,50.75,15.247950681976905,-70.68039338260088,46.88071778932993,44.02065591526047,20.01425987412791,-16.18046660932834,27.870806589463466,479.40025732500044,364.1647359641112,90.099175843388,42.43091062746075,62.040169240651046,25.257433048879324,5.888932025271146,26.57231941084909,638.2880903329386,387.88527954233666,424.0,0.705051995449497,2.564642578042732,0.35252643948296125,0.3172737955346651,0.282021151586369,11.607808701588239,30.894866863501136,31.958821415698115,106.375,8.0
540,YDS,raise_arms_horizontally,21.6 16.13.49.xlsx,left,6,17.74742273772284,1.4858142070578495,153.11241116390988,26.742099376299247,16.404394947547978,1.202442731119536,26.333333333333332,6.12100209660695,32.5,15.162453627299245,-138.94823948563746,44.873758752483845,149.9043463705843,48.83528681344952,0.6696029275543411,38.8232353262317,2077.3902100806395,576.9127109098198,160.8508927548105,44.42614187589817,137.97285546920594,36.15314314585341,88.29614887146579,67.87318627603631,1704.8808536044583,508.90188087979703,428.0,1.0041724264494383,3.348244829198886,0.3496503496503497,0.13986013986013987,0.17482517482517484,24.469088851399363,24.473408759844688,32.434296269273624,171.6,5.0
541,YDS,raise_arms_horizontally,21.6 16.13.49.xlsx,right,7,17.561995011434625,1.1730201681878483,157.04959053342048,22.719567191593143,15.204949616139755,1.184083721656294,23.857142857142858,4.634241089562614,30.571428571428573,13.352367366340484,-157.84709584116385,61.641181476481684,159.6827294229768,44.30876702232972,-5.3590472834172,43.93576436702651,1933.378010002671,601.1225843348113,180.40801291704653,41.241610294871144,145.57823420618007,28.382765983066793,60.440082954334194,78.7797219391951,1654.1875732416381,287.496973132367,428.0,1.1252419625657144,3.6806817245673558,0.13986013986013987,0.17482517482517484,0.3496503496503497,27.69059135461811,28.152429842834824,30.61843783884195,85.8,10.0
542,YDS,raise_arms_horizontally,21.6 16.22.20.xlsx,left,8,17.98985285877356,1.5591218804363995,128.1637156835318,1.6490786877572774,18.456199399708648,1.6585207167363858,37.875,2.4748737341529154,49.0,6.502746672423452,-68.0255299205043,8.143715054957797,54.460440941390125,1.6828150693656385,-7.822771060908731,14.985749497199928,473.72668785672846,67.26561397635436,87.50606795016037,5.912348120673727,56.30625727781134,6.602373402962132,3.350548170979537,5.338766336755609,539.3205005659627,79.82846635161175,421.0,0.6144169051152558,2.9451903008482607,0.3550295857988166,0.28402366863905326,0.31952662721893493,17.07035407204009,38.092096570241324,39.711661356849426,93.88888888888889,9.0
