Source,Exercise,Participant,label,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
maya,raise_arms_horizontally,902202106a.xlsx,0,left,7,42.89926775,4.325280476,129.1335261,9.720257164,34.12987594,16.49701205,39.28571429,11.95427798,52.71428571,21.5539191,-152.428519,290.7409522,101.7985106,163.9827492,-940.3250565,2451.070182,1959.38301,4571.990386,68.91376187,14.64891696,39.15542248,6.078711305,-5.472373297,58.45988979,349.5877892,112.1959479,398,0.712483263,2.498670672,0.150187735,0.225281602,0.262828536,15.03497735,20.03370209,35.27216933,114.1428571,7
maya,raise_arms_horizontally,902202106a.xlsx,0,right,7,40.73169865,3.475391938,130.2754707,9.241649213,39.9407352,1.214337508,40.85714286,13.81338206,54.57142857,15.8204208,-55.45296556,25.01776579,55.21812045,10.83819853,-2.527595813,12.79006925,578.7001995,464.1278306,70.31775888,16.47683981,46.28694351,4.086244832,-10.80444908,48.17804096,490.2685636,74.48284137,398,0.476063042,2.619198894,0.300375469,0.225281602,0.262828536,13.39245694,19.57343164,43.67746729,114.1428571,7
maya,bend_elbows,0812202001b.xlsx,0,left,7,-6.507980454,2.45083415,184.698702,1.841102022,2.262504569,6.465809347,5,0,59.14285714,19.0125272,-98.18709056,38.26735642,334.9143572,102.1892419,-527.6838038,440.2798337,4983.040501,1889.960203,1071.715076,26.78164321,582.6056126,20.55405255,7217.702287,546.398616,17114.13578,1223.818274,493,1.384434435,3.555133258,0.364004044,0.03033367,0.394337715,26.88901808,29.48336697,33.35716704,76.07692308,13
maya,bend_elbows,0812202001b.xlsx,0,right,7,-2.651280305,4.295502991,180.2373741,3.346605046,3.110928244,6.516928169,8.857142857,6.743603671,55.42857143,13.93864105,-100.7626591,34.55722766,332.3912824,66.6884453,-327.4020061,404.2765205,5078.998817,1114.465861,824.661325,364.058887,532.6695308,60.70436559,4877.654326,3474.020875,14304.98878,4480.531637,493,1.359382687,3.570554103,0.364004044,0.03033367,0.394337715,27.2043785,30.25175555,33.50855649,76.07692308,13
maya,bend_elbows,0812202002a.xlsx,0,left,7,1.885587419,2.280026675,181.8912599,3.716560134,10.57296154,5.940024768,6.285714286,2.214669706,70.28571429,6.317021601,-73.02797554,6.71656192,221.6653284,22.83342874,-59.54952431,103.4036838,3266.11671,480.3095491,877.4325544,232.7785302,512.9410725,61.51650696,4723.159581,1738.059263,13853.88076,2580.362675,350,1.850545354,5.397464271,0.384068279,0.682788051,0.298719772,27.96050065,33.60790288,77.23972798,100.4285714,7
maya,bend_elbows,0812202002a.xlsx,0,right,7,-0.550329847,2.04096906,181.5763033,3.203092179,4.010359988,2.884469216,6.142857143,1.069044968,76.14285714,4.140393356,-69.96016758,3.415509223,246.3074278,10.82966167,45.22557408,16.60581771,3929.665895,404.4734146,878.6451166,153.4530656,552.0124277,74.14724945,4457.873926,1385.092685,14792.51481,2375.052706,350,1.934677648,5.420799491,0.384068279,0.682788051,0.298719772,24.39880909,37.704815,74.35132274,100.4285714,7
maya,bend_elbows,0812202002b.xlsx,0,left,7,5.207920163,6.661726239,169.7311204,6.961970171,8.225608054,3.448132409,13.28571429,7.273565969,62.14285714,7.448234051,-77.07448203,10.99012601,211.8217942,58.12746678,-144.6876962,247.0342353,2538.307707,1292.999408,484.9328043,321.172468,409.537458,121.0079707,2158.41453,2376.458533,8531.904988,5238.71087,337,1.788894473,5.029896178,0.665680473,0.310650888,0.355029586,25.07981159,40.6094894,61.96695035,84.5,8
maya,bend_elbows,0812202002b.xlsx,0,right,7,-3.44821327,2.305347058,180.5340186,3.325859791,5.65274598,3.891862461,6,1.825741858,63.42857143,3.598941643,-78.74637702,5.982479149,326.1467044,24.79235005,-440.3902894,241.4608592,5040.442069,246.7840229,894.6370759,185.8789006,526.0615628,60.28259873,6204.551962,2547.597333,12185.31574,3205.415155,337,2.118466548,5.347005483,0.665680473,0.310650888,0.355029586,29.13824577,43.24818554,61.55132859,84.5,8
maya,bend_elbows,1212202001b.xlsx,1,left,8,8.711283247,4.815993604,179.4052481,3.649785523,8.509049325,3.522520671,7.75,3.284161124,40.125,15.60620298,-140.9996598,55.09490279,390.39026,74.54296788,-672.0045427,510.5083027,6441.912632,1430.840883,721.6885825,252.2353737,503.5337268,43.94900505,3889.986425,2458.486197,12174.95321,3024.996862,453,1.766905979,4.955576611,0.330396476,0.363436123,0.297356828,28.56562678,34.08941841,67.55207479,100.8888889,9
maya,bend_elbows,1212202001b.xlsx,1,right,8,13.03828032,6.504258593,180.1727718,1.691420408,13.58415255,5.646910554,12.875,7.199950397,43.375,17.92793112,-131.6705056,65.58051608,362.4868971,86.05111051,-612.5218515,600.2362103,5900.365347,1484.010432,508.7427501,303.345574,421.4206071,69.9931731,1823.382632,1924.951545,8609.570652,4288.540393,453,1.64512764,4.739100738,0.330396476,0.363436123,0.297356828,28.25190507,32.08073079,64.27568882,100.8888889,9
