,Unnamed: 0,Source,Exercise,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
189,3,naama,raise_arms_horizontally,10_1_2.xlsx,right,4,49.620865175773616,7.61286847386173,106.806161704749,20.957458718710352,45.67288131218114,2.369566930310251,28.5,17.406895185529212,71.0,31.25166662222459,-32.89862198841177,21.816561014021094,50.95983014160267,8.812385682438793,20.40484180570693,40.92301702722827,719.3636473471054,171.84517998642545,68.27251117485633,19.52250012165293,51.62242039015064,10.310198277479651,231.2738972307147,384.5904188706445,929.189726994797,467.61260622098695,351.0,0.4850702198054276,2.2621733093688894,0.0426136363636363,0.2130681818181818,0.1704545454545454,12.947548139361988,19.53346442049144,29.988671961874378,175.99999999999997,4.000000000000001
190,4,naama,raise_arms_horizontally,11_1_1.xlsx,left,5,50.14981600447868,1.4959424327838902,115.06751487970072,6.577323508540788,51.72461535900737,4.238175842917297,27.0,4.242640687119285,88.4,12.074767078498866,-21.77171539746263,4.285939151187272,39.31363469328462,6.3576955408334985,-4.430126810072504,4.762440667185447,550.7888635087565,74.1365575511604,72.00023054262046,9.9084616560998,36.741603802282064,4.943166653795529,56.32827927136473,27.278276360351526,721.2887967588505,45.27799997902599,473.0,0.374748230383467,1.8686484183671987,0.1265822784810126,0.1582278481012658,0.189873417721519,10.497000204359349,22.083980416270087,28.297839729532523,158.0,6.0
191,5,naama,raise_arms_horizontally,11_1_1.xlsx,right,5,48.92540679987856,0.8648859783379304,122.0518879625708,4.844000184655778,57.70115399201071,4.976508979035461,25.2,4.604345773288535,83.0,9.433981132056603,-23.266393336404143,2.568782869810204,50.69054244298076,9.20160047554642,-7.644068175762205,9.34277881824928,517.2001279443006,101.70599555691898,87.937623585381,10.766880856725011,56.98817804065506,7.340881124082895,50.302737466886,19.667209601857405,794.073492999057,168.88714294769335,473.0,0.454863802421346,2.194157918342169,0.1265822784810126,0.1582278481012658,0.189873417721519,11.73912304343049,26.69996973003841,32.67854390890161,158.0,6.0
192,6,naama,raise_arms_horizontally,11_1_2.xlsx,left,7,47.33858426471735,0.7237515142251166,118.06659797355216,5.725039236314346,47.46001560483684,3.328146765736042,29.857142857142858,7.1978832867395,95.42857142857144,6.37330743170668,-22.22238770937542,3.101078951208128,36.04230305550255,2.814853788718068,-4.678555832782619,7.549345068019428,411.8722738351073,121.07459521498116,72.89907741201172,12.944067909210387,41.19007784956689,4.420674195843091,51.83825596370061,43.44998214864418,695.6556622878345,176.40333347753975,741.0,0.2743402258167558,1.6143976232453554,0.0202156334231805,0.1617250673854447,0.1819407008086253,13.292973353882452,16.818573103866406,32.72260577760791,164.8888888888889,8.999999999999998
193,7,naama,raise_arms_horizontally,11_1_2.xlsx,right,7,51.3565395436536,9.16188110922442,129.0881828389961,2.808841306426403,55.21359242036772,5.311679483689201,28.571428571428573,5.223572942509207,87.14285714285714,15.64639012071231,-25.7513851083041,3.3342696619937726,46.36203228437871,4.266516784168976,-7.15962327566286,8.635042635316255,422.9378529901125,78.48925011846202,82.8871775764527,14.511341443841514,60.21703274221345,9.268064108348105,38.83833424331484,28.09097510151941,972.87935889369,189.90406162075536,741.0,0.3060813468773355,1.871187907338703,0.0202156334231805,0.1617250673854447,0.1819407008086253,15.507655471938603,19.8865073756866,37.68509456666663,164.8888888888889,8.999999999999998
194,8,naama,raise_arms_horizontally,12_1_1.xlsx,left,6,58.60904031884719,13.219830097259583,115.87076667720248,17.159346189351137,65.31300104814086,9.330761226808477,17.833333333333332,10.068101443006356,57.833333333333336,26.895476695285893,-35.31649229482378,25.671054312904356,59.319162734312094,3.931039123783512,-256.6920195831349,425.7503111808082,651.9957614409138,175.5733377318207,132.05228977216146,111.81356743781456,106.17778080847484,24.51413251988164,149.82532549498947,619.2906156481403,2524.3271185130693,1329.5992951988944,491.0,0.4987983760198328,2.146407524310596,0.2131979695431471,0.0609137055837563,0.182741116751269,13.678119302764024,14.782400460347732,36.78778324387599,164.16666666666669,5.999999999999999
195,9,naama,raise_arms_horizontally,12_1_1.xlsx,right,5,46.19222890052727,0.7994636706469939,121.21945165768288,3.213494299825419,51.04923427423893,8.154988561914129,34.4,6.985699678629192,76.0,15.427248620541512,-28.196472321937065,5.333736305809739,44.00043273542657,6.716149856314655,-17.143260482680876,12.814412771649089,438.1564127943393,84.19580956065646,67.31311633671744,13.128272140322292,64.53711128303354,9.601045185189465,13.177636827814265,7.667191268976111,879.2870019069389,183.98120551836132,491.0,0.4743128906461695,2.004532338427375,0.0609137055837563,0.2131979695431471,0.182741116751269,12.978491827845067,13.89384190954654,34.10013212604119,164.16666666666669,5.999999999999999
196,10,naama,raise_arms_horizontally,12_1_2.xlsx,left,10,47.15791382477304,4.771857605020859,111.86585481559888,11.704734564563935,44.90760901013864,6.164523319832196,31.5,9.548123724935005,78.0,26.407069760451147,-52.19625255731595,89.25709305605471,42.72032449395768,29.342748910261108,-4.163938064292539,8.956800991661995,789.3457222058047,1557.8626522602422,61.91611111972195,7.11522007608721,40.59340684844911,13.545142057181677,82.06435490950845,202.15385806528388,603.845511005354,243.95584718038936,856.0,0.3169012969265549,1.4816892185145465,0.0349854227405247,0.1924198250728863,0.1749271137026239,10.481033007060438,21.787292613911635,28.51200761523339,171.49999999999997,10.000000000000002
197,11,naama,raise_arms_horizontally,12_1_2.xlsx,right,9,45.055541611403775,4.63359115269204,117.78488855347013,5.588167383191095,49.37328592143573,5.280332242220995,32.0,6.041522986797285,72.66666666666667,9.500000000000002,-28.632289475060915,6.268864146762957,41.758869856865296,7.797258490731719,-14.39881626451918,10.738378137091134,472.83412077133767,89.00419895670089,69.46658157526888,12.005220962547778,57.30615766859962,15.751763689748415,-20.583138471748395,115.98214251895764,731.8606558487875,148.7335619866205,856.0,0.3143404890095688,1.4960109152875332,0.2099125364431487,0.1924198250728863,0.1749271137026239,10.058274678755234,22.150457713235067,29.876205348352965,171.49999999999997,10.000000000000002
198,12,naama,raise_arms_horizontally,13_1_1.xlsx,left,5,46.16915141750808,1.2718319677244811,127.67308953536964,15.677793592577768,46.47729286688134,2.037685943246255,30.6,9.96493853468249,84.4,8.848728722251577,-29.41849362996834,8.099422442158243,59.84077154966927,5.13415708350407,-2.4291860100725997,5.225469464819167,679.799336218586,103.94661045576376,82.09799904618609,14.335098753184168,48.41701690322479,7.723069083632621,66.24251799942968,61.417610298224254,715.8244834271169,144.99990124708637,440.0,0.5172503975183023,2.6507406915052845,0.1360544217687075,0.2040816326530612,0.1700680272108843,12.533929326603673,24.95196281985455,44.159511883996686,176.39999999999998,5.000000000000001
