,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
0,10_2.xlsx,left,22,8.971595619076014,9.204699501017295,116.83801333544194,24.728512080345762,8.492123550650417,9.428422183591094,7.954545454545454,3.0779905740638607,18.0,15.377782365353934,-302.8233425685226,191.09073520121848,249.7262153250107,98.87427983694997,-877.0654672220487,1792.111007149881,5408.845519348707,2777.8376436132685,428.97405546461755,193.7375295580988,221.26053046765495,112.33010964965692,1639.4113136855258,2218.5816031549025,5785.214401636951,3877.93775704574,639.0,0.9824687922698263,1.8935192005871273,0.0703125,0.1640625,0.28125,10.367058506178788,12.31389544326157,18.354872167159183,106.66666666666667,12.0
1,10_2.xlsx,right,9,12.508101640625076,25.890328712249804,146.53564141365263,17.937827499703303,14.774608035539444,22.299220854732145,7.222222222222222,2.5385910352879697,73.33333333333333,82.59388597226796,-130.45162576463326,143.9982708068662,282.6197326374666,92.12016528519406,-773.0193203397253,967.2086298559271,5303.818413027676,2348.1660568333186,580.7505352849915,285.7207653419238,345.9725495669934,131.27373180494487,1993.7329475332792,2921.708820001955,8918.15365992257,4704.788777665978,639.0,1.116927586180317,3.136061086762776,0.046875,0.3046875,0.28125,24.623801730007635,29.207395557592534,30.48737032537484,106.66666666666667,12.0
2,11_3.xlsx,left,15,0.6113538357223652,1.0083735731930095,143.4545845237965,6.867102816900336,1.8679896962304567,3.008355472522298,11.466666666666667,2.948768911806772,46.93333333333333,18.949054505876184,-131.0157783266771,147.79960674688965,213.2667294368578,71.44044842342117,-141.81126446069646,451.35676556011197,3419.8202116096154,2984.4183490374944,394.43969767537595,115.54380585049175,323.5756664210045,62.13863736751629,36.06869363233521,723.7084839172602,6565.261366071459,2340.7232582164365,711.0,1.0833384925321023,3.1690747173487224,0.4002808988764045,0.3792134831460674,0.2949438202247191,26.278558021398105,29.693503623208073,32.811630804720906,101.71428571428571,14.0
3,11_3.xlsx,right,16,6.963467367604402,17.372151252328713,148.17767120554473,17.713404540752762,11.646488251937967,20.077619964690818,9.75,3.8901585229053754,43.3125,16.843272643204863,-99.66243614268747,29.424732178299365,277.13262983642176,70.05689382001589,-140.78003144979405,269.9746699546111,4751.218014916039,1592.543036121557,475.5533326577904,208.43078869482525,355.2101284099772,123.05635472047827,1031.5515918000465,1582.3847380866505,8285.400224424957,4057.3305090148424,711.0,1.1420527561803124,3.340861142622262,0.4002808988764045,0.3792134831460674,0.2949438202247191,29.244126386946157,34.638474738337905,38.291908301651176,101.71428571428571,14.0
4,13_3.xlsx,left,15,12.136044082231402,24.91671947818089,162.42011040313858,13.13154210769315,23.319053617489782,30.20895875822905,8.666666666666666,4.775931721614518,25.866666666666667,23.45471827850016,-281.7958659759425,223.50818060237617,383.58920955275863,209.96911010376948,-2457.9065749792617,2915.7049411206276,7180.09219550537,4180.404773254092,654.9683699378351,357.22569585228854,350.5171978315244,203.19843030294817,2100.9946205640845,4192.546629370547,9796.046488627522,6190.344099582065,577.0,1.4391176667969239,3.6741952190246665,0.051903114186851215,0.2854671280276817,0.025951557093425608,22.174888177190535,24.464794242923254,56.7518312281097,1156.0,1.0
5,13_3.xlsx,right,12,34.6948460519814,31.719679387282607,140.20046150211172,13.155228349516031,44.85054641348878,40.12342341150598,8.416666666666666,3.776923551668939,21.833333333333332,16.81359478805677,-164.9179587772779,106.60207008432302,268.0326338243062,151.68792284375667,-965.2630578654539,1367.638801028772,4862.0115821713,2847.6434166327726,422.2325053114816,219.91483063790974,242.5161791820898,138.262713355741,1522.3368151614295,1717.8727679691513,6226.542207017453,4799.738608102438,577.0,1.0479827983717618,3.6879659904979176,0.4152249134948097,0.3892733564013841,0.025951557093425608,19.286254877408993,20.300722829137214,66.69935414943345,1156.0,1.0
6,15_1.xlsx,left,10,3.567488461961292,8.72263778824366,163.39103140449234,4.346953782635287,2.5640637044949828,3.648573913078954,15.0,5.715476066494082,67.5,55.952857140830815,-94.74070474815184,37.21280375999154,251.4087376557558,80.6738643298498,-160.17353072755495,238.38578430757778,3371.108771504918,1451.7262238422848,351.7578479998325,107.33403374486417,310.63276949760404,90.19283135254814,5.387080051739432,207.56882981326567,5858.84172619635,2473.1032112339167,758.0,1.1362696797399068,3.7229872088666203,0.15799868334430547,0.17774851876234365,0.019749835418038184,34.239843095659964,38.00980876796244,45.94072036048219,1519.0,1.0
7,15_1.xlsx,right,10,4.966833566336712,8.923231841500842,151.3173722994997,7.124062388830747,22.072980869604894,31.299137152182233,12.2,9.319036669336828,44.1,13.345411196362592,-88.68933456237868,23.086111790585083,238.8143716823015,53.935504494901046,-226.51407359966416,304.18590787047594,4025.54255843586,1055.885306415891,472.1887299304566,197.0673503298179,342.685251836947,103.90958701299233,1213.8090852575324,2325.760730635534,7889.52486974748,3430.795498878305,758.0,1.0222770516982236,3.290353474312841,0.15799868334430547,0.17774851876234365,0.019749835418038184,28.488847129133802,28.5963471773673,45.430345560877804,1519.0,1.0
8,16_1.xlsx,left,13,3.349899913246854,8.508010848304782,161.0029008282532,16.140137620370826,3.0631765724180244,6.663802305086133,17.46153846153846,8.027197358723495,21.846153846153847,12.033606787147914,-347.2855501495937,301.18837621402037,343.1686168004314,156.84750772026052,-993.3781462576874,5083.137665554237,6881.0267555059345,4066.8163231832327,372.51188132438415,263.77402017572877,272.5293517269901,101.7034494384392,769.1897226568727,3016.3727776995397,6034.559295281713,4456.195956425484,365.0,1.6031279881529426,4.350681659001483,0.5737704918032788,0.36885245901639346,0.4098360655737705,24.596418458994517,30.389510954515767,51.414930949313856,73.2,10.0
9,16_1.xlsx,right,14,8.641103887694674,19.79465913946986,156.764081432443,12.125398095765615,2.2757021227556793,5.894524055960633,14.928571428571429,10.39574088612392,22.785714285714285,11.294509022792186,-350.7086773094412,362.03445149030034,257.52643246252376,159.8802318206518,-1467.5865650375888,2847.807658291235,6087.065250052372,6766.045808318459,477.5006449280491,343.0352271103667,296.93822965691413,143.61134846449934,2707.0009280086438,4704.294944377743,6195.044008689232,5183.64153910251,365.0,1.931145906299176,4.373913424886882,0.2868852459016394,0.36885245901639346,0.4098360655737705,24.920607211727596,27.5706102641279,48.63588209322347,73.2,10.0
