,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
0,0812202001a.xlsx,left,7,0.639996154793164,4.366441470971059,159.40977328800844,3.4863910131787748,3.52339957935143,6.566831613689636,13.857142857142858,7.221001117771492,62.857142857142854,9.26334301478272,-72.15482445768124,16.925164387925133,218.05946161218938,32.4234592215557,-196.5792439364465,197.28403819230994,2536.736919184134,536.2806111013005,455.45674402289023,289.48518418645045,386.1918696883296,93.73898899524299,1722.073719648937,3416.3161603592266,7987.152446868223,4233.315536548976,524.0,1.214003058868464,4.364642314081226,0.6571428571428571,0.19999999999999998,0.22857142857142856,22.90615152207448,44.61095498244183,72.33832535862012,131.25,8.0
1,0812202001a.xlsx,right,7,0.6397020827844058,1.1901615232489218,156.19159530755067,5.92575503382731,4.039945172322327,9.524502429820547,15.857142857142858,11.096975134821973,66.85714285714286,11.06689615367337,-68.66687133320241,17.209532278975853,175.01848831573724,26.501398030132236,-63.816681660595194,126.7218188276831,1742.4488893798966,486.06443433653976,432.0494503896396,288.80350013812983,333.62315324378517,76.37412363155123,1618.2768541872015,2687.4903282001733,6878.672235097676,4188.59667471247,524.0,1.2873559502625715,4.383244117591131,0.6571428571428571,0.19999999999999998,0.22857142857142856,21.898486599961313,44.256241824307956,74.08530748446567,131.25,8.0
2,0812202002a.xlsx,left,8,2.378762463018533,0.9580542531334632,149.8098636894925,15.616805046711779,5.407069795052245,8.563450150665803,30.125,11.344444833107902,45.25,24.81215140093372,-204.15161937152607,282.69214566436943,188.78474290431834,132.76218020163202,-641.2916471427724,2022.6909147491308,3853.8583670244316,4898.840641573982,200.34422697189515,182.2413513474513,124.88646769804859,101.12651756283351,717.2474743409502,1752.832007714709,2327.8637528231607,3012.296171987358,417.0,1.3266083372053235,4.309557925984892,0.28673835125448033,0.21505376344086025,0.2508960573476703,25.931479797996158,29.24003111149656,62.13563900216726,119.57142857142856,7.000000000000001
3,0812202002a.xlsx,right,7,1.4528811763700953,1.1418778647255936,159.80985536272257,3.301980772414502,4.6416931292768995,9.508749570211213,34.57142857142857,2.6367367999823093,52.42857142857143,13.830607878387495,-93.93755381492971,27.67882861345038,144.30687131461164,8.60555628034593,-58.992282207257,112.960063545369,1363.3896269334132,197.75049012993594,137.7540269121218,10.786391719097647,128.5013321006971,31.010364789622574,19.644877983307442,16.65539253736107,1434.7106673146313,297.0664661749665,417.0,1.2732995591325782,4.606412775601986,0.1792114695340502,0.21505376344086025,0.2508960573476703,23.43897538992825,33.90169625269466,69.8867142917469,119.57142857142856,7.000000000000001
4,0812202002b.xlsx,left,7,5.6952824710299295,6.940050079743166,154.72943243964932,4.254925517756768,3.9666118056036264,6.380464372360024,31.285714285714285,6.524678426668134,48.0,17.55942292142123,-126.76005556154693,114.24031685232237,202.5319524131539,250.7065592016297,-300.84992829946015,717.8121867887271,3261.921013291384,6151.462152671869,145.86157196425106,24.849816770753293,83.26192609021405,16.753432408705514,57.18387223340391,54.74131633767627,1140.979158719949,243.3430451100285,379.0,1.335272731463965,4.423391031837037,0.31578947368421056,0.1973684210526316,0.27631578947368424,27.440034392364044,40.14487852498034,56.95229592313512,108.57142857142856,7.000000000000001
5,0812202002b.xlsx,right,7,1.0710444293114558,0.926829032971685,155.0032080016685,4.170655803567962,4.506640887150306,7.981228981939442,29.285714285714285,7.40977475398287,53.714285714285715,11.629191512658789,-86.24272701785155,17.39824700890366,129.85359786790747,9.479695440225491,-43.662717442807526,87.19383535453194,1214.1958135631992,211.16632469982068,167.2374426893316,47.77942203577213,124.16840788833736,22.63774023164674,38.07959524923778,20.20258904609956,1444.5893228947916,315.6327389671682,379.0,1.385774002302475,4.693005854322478,0.31578947368421056,0.1973684210526316,0.27631578947368424,27.498310463887332,38.046109699082365,64.40699761519802,108.57142857142856,7.000000000000001
6,1212202001a.xlsx,left,3,1.8520222824058326,1.9886512745621956,149.30215936616696,6.032204879262853,0.13661551452561368,2.4444808894477,17.333333333333332,3.785938897200183,42.666666666666664,32.65475973473597,-316.5971309889632,420.7235529152538,242.13507903492493,142.63427382393243,-1619.2837876200892,2701.686814173359,5228.468285599354,6404.44333310162,261.86599809646503,57.0454368250646,192.33109934634027,66.60942800522393,213.38277965965085,300.38268194668217,3920.2708412368934,1623.0913088080185,189.0,1.909532860301651,6.262263039827945,0.31578947368421056,0.07894736842105264,0.2368421052631579,36.01096752590611,49.9661319956772,53.65285510478941,126.66666666666666,3.0000000000000004
7,1212202001a.xlsx,right,5,1.7257151731096503,4.067284282200988,160.47628039463385,12.673270384173607,2.2825030970941023,3.047791526064341,19.2,10.134100848126586,27.2,28.234730386529282,-472.6843572743061,395.6257501875025,371.13937449243343,201.72937344769858,-2152.4374285308463,3245.3840209422524,9244.520089008762,7795.346745233667,362.80290076773935,337.80641623692657,225.5027027323466,153.68193243018013,1366.6354360545172,3152.2949958049967,4016.5000274744843,4789.571164130436,189.0,2.276430451812158,6.481460962111736,0.31578947368421056,0.2368421052631579,0.07894736842105264,33.655727756687824,46.2218025375968,50.974094578945376,379.99999999999994,1.0000000000000002
8,1312202001a.xlsx,left,7,3.0954008426742727,1.2421883701249254,171.75017434744117,6.472602621243846,4.315514860549791,2.5813350230966217,24.142857142857142,4.634241089562613,62.857142857142854,20.02022786607395,-84.65150408479367,20.342925925955555,192.92191325699542,32.527555431185036,-35.23777393118972,30.522986835473418,2043.6540772171447,770.2313669472778,215.60547634962026,39.62652237213442,181.51498415176843,34.47303243530793,28.043329115537464,30.969682205172074,2284.813024337709,500.21396756229814,609.0,1.124587930989711,4.339811101935314,0.02457002457002457,0.19656019656019655,0.22113022113022113,32.27852173304751,56.50363544094797,57.77372268704992,135.66666666666666,9.0
9,1312202001a.xlsx,right,7,5.824096058072376,2.072867489639566,161.37576581151492,12.580434582010556,10.187586401570183,11.548790016487148,22.571428571428573,9.863352081605639,63.857142857142854,22.348963968743394,-78.89572360509801,33.91944021245968,170.41491347688097,34.56034919249064,-90.66005020138334,19.59579171976477,2078.4751835534025,546.7374994922438,236.05068060152033,92.52921555264777,190.18717670085374,37.00479271599711,307.49213960246027,327.7041430179933,2655.9390387632225,629.1377010805497,609.0,1.0851243482473845,4.206653369251356,0.02457002457002457,0.19656019656019655,0.22113022113022113,31.959485466789612,54.63764088753718,55.8686179504888,135.66666666666666,9.0
