,Unnamed: 0,Source,Exercise,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num
0,0,maya_raw_scaled,raise_arms_horizontally,0812202001a.xlsx,left,7,0.1736047860663312,0.0189658820027978,1.1360797924486967,0.0165159852947468,0.1841326562535399,0.0045745875298014,39.42857142857143,5.380741673076393,73.57142857142857,18.617707904547423,-0.4087898978197672,0.0988257597105742,0.5551071043547784,0.0422916246048817,-0.0029087405310712,0.0200031919598702,3.4851570322181518,0.4722843851850277,0.7427549852959798,0.0991891097645736,0.5443377385098144,0.0941883660792318,-0.0503327470917758,0.1013182051606133,5.690444880096221,0.8988438422615753,470.0,0.0053368495148594,0.0261876669490548,0.1910828025477707,0.2547770700636942,0.2229299363057325,0.1679414179284599,0.3361926958987773,0.3511319165136964,134.57142857142856,7.000000000000001
1,1,maya_raw_scaled,raise_arms_horizontally,0812202001a.xlsx,right,7,0.1238107225522426,0.0102532849661343,1.1886526767222645,0.0174510410848365,0.1131310067871423,0.007019917220098,36.285714285714285,4.990467102863409,50.57142857142857,17.775049393809876,-0.6843725260578507,0.1619187722403319,0.7445075513503193,0.0561292343047374,-0.2178408922725322,0.1739609507862269,5.166728050111239,0.906728674422782,0.895388724332287,0.1337650528106642,0.6277746199121433,0.0910567617166917,-0.0568441711710322,0.0837919941283977,7.173010914296374,1.056561356054875,470.0,0.0058105828000994,0.0294356958353418,0.1910828025477707,0.2547770700636942,0.2229299363057325,0.1878314366973122,0.3753363184705358,0.3980627813858792,134.57142857142856,7.000000000000001
2,2,maya_raw_scaled,raise_arms_horizontally,0812202001b.xlsx,left,7,0.1672507237445843,0.0139589454499477,1.143605933298527,0.0407065271297699,0.1803933244265393,0.0090661568703249,31.571428571428573,15.120153690324964,74.57142857142857,17.859237972331883,-0.4060890643695051,0.0940900534408363,0.7595769893974238,0.3016982755628054,0.1895053046258461,0.3066433366108443,10.74625538590312,12.49974088059654,1.06405768569891,0.3907648273625213,0.7197992688693821,0.0904025279853498,0.9241109648963278,1.6190820947462674,10.300517089830269,2.874414924274426,449.0,0.006556626261575,0.0285648456933646,0.3,0.2333333333333333,0.2666666666666666,0.1494323123478894,0.2740150349421442,0.4078707893138937,112.5,8.0
3,3,maya_raw_scaled,raise_arms_horizontally,0812202001b.xlsx,right,7,0.1206904730574642,0.0127891220610502,1.233716944989798,0.0216638611404457,0.110220173832228,0.0085961311570071,32.0,3.915780041490243,52.142857142857146,8.375133261199917,-0.6588910044508475,0.1082642520746745,0.7960561880642384,0.0479581816853354,-0.1082442586330556,0.1664354125573993,5.181645485987548,0.5741233105835071,1.0547390606329567,0.1259274629087288,0.7088260602776547,0.1367811589943238,0.0082858835447157,0.2364904149892841,7.909376692951199,1.9853222976498592,449.0,0.0069179992615477,0.0321130018538398,0.3,0.2333333333333333,0.2666666666666666,0.1752676336968659,0.3009006065182437,0.4618460088148843,112.5,8.0
4,4,maya_raw_scaled,raise_arms_horizontally,0812202002a.xlsx,left,7,0.1818876558468776,0.0251785188044389,1.27753976552156,0.0771089564461598,0.1944503527119031,0.0313909161964684,42.42857142857143,10.42204622994197,47.42857142857143,8.92295061171178,-0.7057441890058079,0.1511227523020075,0.3812223047418424,0.1068040952378385,-0.3010067656630882,0.2072063455034788,4.279435527301592,0.4479256830986837,0.8213644705588096,0.2281224683479734,0.5592569333621649,0.0621446879438105,0.0752506098976653,0.3765107002320771,6.447783754836197,1.455909500775879,414.0,0.0043328484876953,0.0302096431160019,0.1805054151624548,0.2166064981949458,0.2527075812274368,0.0635389392493632,0.0927516888702477,0.5911644001610468,118.71428571428572,6.999999999999999
5,5,maya_raw_scaled,raise_arms_horizontally,0812202002a.xlsx,right,7,0.1514394744477346,0.0140402410143508,1.1378792018721864,0.24303724299778,0.1479874892755005,0.0127459583850068,42.42857142857143,21.09389439985848,63.57142857142857,14.987296207757009,-0.5060391027900789,0.1988301536899497,0.5672681336618767,0.1037893782817127,-0.0792507844815103,0.0629829528889275,6.522542521925524,0.6438685504102377,0.8093950960846242,0.2716788095861616,0.7062932968574804,0.0718491603566155,0.2792989521257336,0.5449568355925729,8.340604336450479,1.174906911907113,414.0,0.0049290411894112,0.0302500837904682,0.1805054151624548,0.2166064981949458,0.2527075812274368,0.0641852617019682,0.1025765732949357,0.5929037472752062,118.71428571428572,6.999999999999999
6,6,maya_raw_scaled,raise_arms_horizontally,1212202001a.xlsx,left,7,0.2573842766876971,0.11130827746221,1.258816432744135,0.0642804922686701,0.3115064974339035,0.1518254431005603,24.857142857142858,10.367072415884364,32.714285714285715,21.62340002338736,-1.6952548954467692,1.6477920728727231,1.7564371546008497,0.9806018427492618,-7.958391704679722,15.412051185331247,37.45320845165855,31.260280275679506,1.3113317658130548,0.3759533483063649,0.9392957422111622,0.3971397288729089,0.315956206687803,1.29842912505958,18.92706701692937,8.437494668316331,240.0,0.0115195741107579,0.037483082181231,0.3112033195020747,0.3734439834024896,0.4356846473029045,0.2533523539710463,0.2583177324608945,0.3071677381950145,68.85714285714286,7.0
7,7,maya_raw_scaled,raise_arms_horizontally,1212202001a.xlsx,right,7,0.2380717207857365,0.1602329077652199,1.2683008428485176,0.0951659418330447,0.2339993534712962,0.2077091100501936,24.714285714285715,7.609517849690734,38.285714285714285,13.877010793806733,-0.9401255613435424,0.5406215649081674,1.4386505118082489,0.794051070485084,-0.8055764328097789,1.7495951029769932,25.322817947774496,18.74594364983286,1.2968524581432197,0.3124946973972359,1.0990912376827089,0.4378210497056782,-0.4925554810552142,1.140773279850197,21.442236677403734,10.105960110751171,240.0,0.0122625607588949,0.0394469349959031,0.3112033195020747,0.3734439834024896,0.4356846473029045,0.2702532119948853,0.2903738813000022,0.3061242968534785,68.85714285714286,7.0
8,8,maya_raw_scaled,raise_arms_horizontally,1212202001b.xlsx,left,8,0.1600468370076393,0.1436219301261931,1.2718072136548075,0.0242710871210369,0.136898199355054,0.0931910085082967,26.625,9.288049157000472,47.375,13.157697366940766,-0.8239276756196522,0.4736202831694092,0.959808029429432,0.541199724621854,0.3982994278429613,2.638095070378521,9.173827312504867,8.632280829903245,1.3546114569321828,0.4200697847402103,1.3280795452703291,0.7909017891659692,-1.0779166750832787,2.4355115654180985,23.692852899845644,18.15877795375398,322.0,0.0099126895480378,0.0342478126509658,0.2786377708978328,0.325077399380805,0.3715170278637771,0.2517322263356105,0.2651889100443243,0.2760564048412624,80.75,8.0
9,9,maya_raw_scaled,raise_arms_horizontally,1212202001b.xlsx,right,8,0.1572362058683569,0.1035447296076931,1.262745162393085,0.0378912518195138,0.1379169352915086,0.0103601992428149,28.25,8.031189202104505,46.5,12.716693191010222,-0.8225837635022756,0.4509063627493663,0.8442387863504559,0.3266415286180169,0.0404102700317016,1.0926268800266248,7.652257199211208,6.272192479372982,1.2320174866395424,0.2835649470760196,1.4213990510058054,0.7264823367028267,-1.1230103370373443,1.1013061428580846,26.26082747181727,16.89566225616047,322.0,0.009955690390029,0.0327043497633875,0.325077399380805,0.2786377708978328,0.3715170278637771,0.2410352101764967,0.2428956554799254,0.2731333346025567,80.75,8.0
