exercise,Participant,hand,rep_count,start_value_mean,start_value_std,peak_value_mean,peak_value_std,end_value_mean,end_value_std,num_frames_up_mean,num_frames_up_std,num_frames_down_mean,num_frames_down_std,vel_mean_down_mean,vel_mean_down_std,vel_sd_down_mean,vel_sd_down_std,acc_mean_down_mean,acc_mean_down_std,acc_sd_down_mean,acc_sd_down_std,vel_mean_up_mean,vel_mean_up_std,vel_sd_up_mean,vel_sd_up_std,acc_mean_up_mean,acc_mean_up_std,acc_sd_up_mean,acc_sd_up_std,freq num,magnitude mean,magnitude sd,DF3_freq,DF2_freq,DF1_freq,DF3_mag,DF2_mag,DF1_mag,CL,cycles num,label
raise_arms_bend_elbows,2112202005b2.xlsx,right,0.292989087,0.106185403,-0.070255858,0.035291724,-0.576350888,0.880516826,1.11846644,0.055484111,-0.819081517,-0.307898869,-0.336480399,0.192489699,-0.278477383,-0.678031777,-0.554478895,0.305224684,-0.323603144,-0.285134374,-0.423717631,-0.430686793,-0.669491486,-0.617232978,-0.118736563,-0.555860769,-0.609799754,-0.423402028,-0.443582922,0.139489788,-0.382436679,-0.544509171,0.063915377,0.380647101,-1.887245371,0.939172033,-0.169007151,-1.346903338,6.704746386,-2.760839368,1
raise_arms_bend_elbows,902202101a.xlsx,left,0.292989087,-0.629550755,-0.714328855,0.011581936,-0.562042365,-1.188497378,-1.111738913,0.329527611,-1.135533446,0.833871202,-0.883928246,0.461755606,-0.463499593,-1.148110416,-0.531402605,0.366405327,-0.383256617,-0.727646321,-0.50282082,-0.525925343,-0.821770957,-0.769955985,-1.079276146,-0.501836356,-0.643141855,-0.765400173,-0.917477703,1.43796505,-0.70970221,-0.580308633,-0.871512581,-0.333826324,-0.23958952,-0.089263776,1.389991098,-0.284433944,-0.114739412,1.172810391,0
raise_arms_bend_elbows,902202101a.xlsx,right,0.292989087,-0.491773853,-0.714619358,-1.054715115,-0.15542824,-1.058370798,-1.233208681,0.116382667,0.300749408,0.060414057,-0.553950876,0.424367945,-0.315867625,-0.847529026,-0.618207117,0.346375803,-0.393919818,-0.547077601,-0.481287063,-0.543396916,-0.701352692,-0.77785199,-1.212850695,-0.525948684,-0.619895094,-0.750496178,-0.990365825,1.43796505,-0.737871629,-0.691780853,-0.871512581,-0.333826324,-0.23958952,0.169075382,0.554875914,-0.569639368,-0.114739412,1.172810391,0
raise_arms_bend_elbows,902202103b.xlsx,left,0.292989087,0.38616524,-0.147862166,1.121978889,-0.720975093,-0.681907128,-0.834996715,2.126035,0.220632379,-0.393838551,0.409534745,-0.135616329,-0.239533881,-0.07891774,-0.640374592,0.363894655,-0.374195173,-0.396419289,-0.531611742,-0.817500607,-0.842920336,-0.944589123,-1.010673822,-0.54131587,-0.652791599,-0.834923826,-0.972498901,0.527094344,-0.358609243,-0.177580032,-0.308007924,-0.347196368,-0.210550454,0.371138009,1.862585287,0.11741813,-0.129614267,0.386080439,0
raise_arms_bend_elbows,902202103b.xlsx,right,0.838554972,0.84620901,0.293818143,-0.062358775,5.327920988,2.091361244,1.093642276,1.031552627,1.530929987,-0.314719478,0.914084962,0.329700924,-0.230934673,-0.939022207,0.066053659,0.230580022,-0.114706529,-0.523404639,-0.207707759,-0.793903886,-0.566960072,-1.01219954,-0.251392787,-0.511261843,-0.629794032,-0.794113183,-0.712623668,0.527094344,-0.504271277,-0.463655446,-0.308007924,-0.347196368,-0.210550454,0.115734663,1.442167694,-0.238983716,-0.129614267,0.386080439,0
raise_arms_bend_elbows,902202104a.xlsx,left,-2.980406226,-1.70970394,0.089380553,-0.084124599,-0.735512591,-0.913412497,-0.931058708,-2.12163925,-2.247133432,-0.025525625,-1.480995306,0.298091168,-0.532852619,0.47721453,-0.146892389,0.307068798,-0.304662245,-0.182807504,-0.132559123,3.145819218,-0.52427622,2.120374745,-1.234294114,3.787902517,-0.546731178,2.743305191,-0.264979517,-2.761084306,4.850390159,4.302959814,0.670216431,2.999939583,5.825211536,1.356659508,0.618598994,-0.409284381,-0.862548469,-1.187379464,1
raise_arms_bend_elbows,902202104a.xlsx,right,-2.980406226,-1.470853375,-0.870895336,-0.498160404,-0.929911801,-0.743168501,-1.189056739,-1.695349361,-1.061200867,-0.418392746,-0.968569571,0.245559387,-0.443397633,0.326082229,-0.626374019,0.294944584,-0.327168371,-0.055162255,-0.49192708,1.378125099,0.943314408,1.844312716,1.206283148,1.56133485,2.225047475,1.503638803,-0.281831824,-2.761084306,3.946847814,3.791561315,3.428668135,-0.468319558,1.05564597,0.201974472,-0.442242279,-0.381852983,-0.514005942,-2.367474392,1
raise_arms_bend_elbows,902202104a2.xlsx,left,0.292989087,-0.79448904,0.945539275,0.615173953,0.373074693,-1.576245079,-0.637221908,-1.57355225,-0.555656928,0.379618593,0.012260219,0.173978588,-0.133245017,-0.068966958,-0.387335015,0.348877474,-0.385201867,-0.394278825,-0.34070987,1.794831684,1.865272362,1.757131879,1.937427626,1.463130414,1.730361467,1.755162234,1.933889272,-0.002631883,0.237421931,0.223783431,-0.454102993,0.22361531,-0.146977163,1.197214433,0.088785175,-0.771860816,-0.160653381,-0.007284537,1
raise_arms_bend_elbows,902202104a2.xlsx,right,0.838554972,-0.879883247,-0.433544224,0.517741818,0.582807426,1.405749216,3.598997139,0.165439837,-0.048977572,-1.340539183,-0.041694488,-0.425708106,0.144576488,0.376610315,-0.201627452,-0.015141587,-0.156033399,-0.091089201,-0.246109408,-0.348048039,-0.523893051,0.133121501,0.683707837,-0.558719141,-0.558857947,-0.043963032,0.232344201,-0.002631883,-0.032964005,-0.012470996,-0.454102993,0.22361531,-0.146977163,0.555604553,-0.249053193,-0.857142592,-0.160653381,-0.007284537,1
raise_arms_bend_elbows,902202104b.xlsx,left,0.292989087,0.588409385,2.631926643,0.59515336,-0.442211481,-0.43410625,0.317801885,-1.497429055,-1.164839429,1.165352835,0.855176166,0.154974185,0.415060323,-0.385873976,-0.523090284,0.300152202,-0.35214352,-0.356270242,-0.256824138,1.264352299,1.331815908,1.608593304,1.205323012,0.077260721,1.06435084,1.571936737,1.840912934,-0.125373326,0.114298969,0.355474675,-0.277646603,-0.2417409,-0.069683629,-0.637487253,-0.537301405,1.453417793,-0.195803636,-0.007284537,0
raise_arms_bend_elbows,902202104b.xlsx,right,0.292989087,-0.959402585,-0.38859564,0.164023032,0.335188806,-0.372724698,0.286723115,-0.081537639,0.983930461,0.367341496,0.358515325,0.213293274,-0.020014893,-0.546609022,-0.514025135,0.299622199,-0.31616449,-0.485546416,-0.451549148,0.049919427,1.165785322,0.408525903,1.257801109,-0.052532161,0.658024828,0.288747588,1.47462746,-0.125373326,-0.128417919,-0.012406178,-0.277646603,-0.2417409,-0.069683629,-1.145117468,-0.850414922,1.095552097,-0.195803636,-0.007284537,0
raise_arms_bend_elbows,902202106a.xlsx,left,0.292989087,-0.716837274,-0.707676583,0.060925371,-0.643109318,-0.467163307,0.064754679,0.009810195,-0.110573211,-0.246513381,-0.822562346,0.213096293,-0.41210481,-0.805295293,-0.52929712,0.257021581,-0.319268382,-0.855058169,-0.438465396,-0.303632446,-0.158265062,-0.047573111,1.144046526,-0.569239115,-0.575348014,-0.245624085,0.777546061,0.145949864,-0.343691273,-0.39746664,-0.212731686,0.115739219,-0.234889273,-1.079901022,-1.843684814,1.066307458,-0.117178066,-0.007284537,0
raise_arms_bend_elbows,902202106a.xlsx,right,0.292989087,-0.570437879,-0.580154184,0.127890467,0.180068339,-0.215055793,0.184562565,1.014636361,0.176682629,-0.369284356,-0.805253439,0.166496606,-0.382538536,-0.938442021,-0.519937179,0.248675183,-0.331455056,-0.694809602,-0.428877194,-0.674944284,-0.76458618,-0.7362783,0.508014542,-0.49783048,-0.630343642,-0.610873244,-0.024776389,0.145949864,-0.408017773,-0.295275634,0.060416796,-0.399413747,-0.234889273,-0.811323845,-1.575857106,1.33951982,-0.117178066,-0.007284537,0
